,Vehicle,Value,Rarity,PI
139,"Dodge Challenger SRT Demon 2018Autoshow, Wheelspin, Aftermarket Car, Earn 250 points in ""Horizon Promo"" category in the Collection Journal",90000,RARE,A678
316,"KTM X-Bow GT4 2018Autoshow, Wheelspin",90000,EPIC,S1749
307,"Jimco #179 Hammerhead Class 1 2020Autoshow, Wheelspin, Aftermarket Car",95000,RARE,A652
252,"GMC HUMMER EV Pickup 2022Autoshow, Wheelspin",95000,EPIC,A610
36,"Audi RS e-tron GT 2021Autoshow, Wheelspin, Aftermarket Car",95000,EPIC,A677
107,"Chevrolet Corvette Z06 2015Autoshow, Wheelspin",100000,RARE,S1755
70,"BMW M8 Competition Coupé 2020Autoshow, Wheelspin, Aftermarket Car",100000,RARE,A684
599,"Toyota FJ40 1979Autoshow, Wheelspin",103000,COMMON,D157
391,"McLaren 12C Coupé 2011Autoshow, Wheelspin",105000,EPIC,S1727
341,"Lancia Delta HF Integrale Evo 1992Autoshow, Wheelspin",110000,COMMON,C489
192,"Ford F-150 Raptor R 2023Autoshow, Wheelspin",110000,EPIC,B536
100,"Chevrolet Corvette E-Ray 2024Autoshow, Wheelspin, Loyalty Reward",114000,EPIC,S1737
605,"TVR Sagaris 2005Autoshow, Wheelspin",115000,RARE,A672
442,"Nissan GT-R (R35) 2017Autoshow, Wheelspin",115000,RARE,S1709
143,"Dodge Viper SRT-10 ACR 2008Autoshow, Wheelspin",115000,RARE,S1735
234,"Ford Mustang GT 2+2 Fastback 1968Autoshow, Wheelspin",119000,LEGENDARY,D394
396,"Mercedes-AMG SL 63 2021Autoshow, Wheelspin",120000,RARE,A690
198,"Ford Mustang Shelby GT500 2020Autoshow, Wheelspin",125000,RARE,S1734
109,"Chevrolet Corvette ZR1 2009Autoshow, Wheelspin",125000,RARE,S1712
490,"Plymouth Cuda 426 HEMI 1971Autoshow, Wheelspin",125000,EPIC,C441
73,"BMW M4 GTS 2016Autoshow, Wheelspin",125000,EPIC,S1711
2,"Abarth Fiat 131 1980Autoshow, Wheelspin",125000,COMMON,D399
90,"BMW 2002 Turbo 1973Autoshow, Wheelspin",127000,LEGENDARY,C425
388,"McLaren 570S Coupé 2015Autoshow, Wheelspin, Aftermarket Car",130000,EPIC,S1721
389,"McLaren 650S Spider 2014Autoshow, Wheelspin",130000,EPIC,S1765
514,"Porsche 911 GT3 2004Autoshow, Wheelspin, Aftermarket Car",135000,RARE,A674
548,"SRT Viper GTS 2013Autoshow, Wheelspin, Loyalty Reward",135000,RARE,S1707
86,"BMW 850CSi 1995Autoshow, Wheelspin",135000,RARE,C493
126,"Chevrolet 150 Utility Sedan 1955Autoshow, Wheelspin",140000,COMMON,D221
63,"BMW X6 M Competition 2024Autoshow, Wheelspin",140000,EPIC,A672
535,"Renault 5 Turbo 1980Autoshow, Wheelspin",143000,RARE,C417
506,"Porsche 911 Carrera S 2019Autoshow, Wheelspin",145000,RARE,S1714
528,"Radical RXC Turbo 2015Autoshow, Wheelspin, Aftermarket Car",147000,EPIC,S2842
610,"Volkswagen #34 Volkswagen Andretti Rally Cross Beetle 2017Autoshow, Wheelspin, Aftermarket Car",150000,EPIC,S1764
242,"Formula Drift #530 HSV Maloo Gen-F 2016Autoshow, Wheelspin",150000,EPIC,S1710
250,"Formula Drift #98 BMW 325i 1989Autoshow, Wheelspin",150000,EPIC,S1726
240,"Formula Drift #91 BMW M2 2020Autoshow, Wheelspin, Aftermarket Car",150000,EPIC,S1748
607,"Ultima Evolution Coupe 1020 2015Autoshow, Wheelspin",150000,EPIC,R925
249,"Formula Drift #34 Toyota Supra MkIV 1995Autoshow, Wheelspin",150000,EPIC,S1759
66,"BMW M5 CS 2022Autoshow, Wheelspin",150000,RARE,S1730
241,"Formula Drift #411 Toyota Corolla Hatchback 2019Autoshow, Wheelspin",150000,EPIC,S1754
520,"Porsche 928 GTS 1993Autoshow, Wheelspin",150000,RARE,B563
134,"DeBerti Jeep Wrangler Unlimited 2018Autoshow, Wheelspin",150000,EPIC,A645
220,"Ford Mustang SVT Cobra R 2000Autoshow, Wheelspin",153000,COMMON,B528
101,"Chevrolet Corvette Z06 2023Autoshow, Wheelspin",155000,EPIC,S1763
18,"Alumicraft #122 Class 1 Buggy 2021Autoshow, Wheelspin",160000,EPIC,B571
42,"Audi R8 V10 plus 2016Autoshow, Wheelspin, Aftermarket Car",160000,EPIC,S1731
61,"Bentley Continental GT Convertible 2021Autoshow, Wheelspin, Aftermarket Car, Earn 1,200 points in ""Car Collection"" category in the Collection Journal",170000,RARE,A649
147,"Dodge Coronet Super Bee 1970Autoshow, Wheelspin",175000,RARE,C455
31,"Aston Martin DB11 2017Autoshow, Wheelspin",175000,EPIC,A679
55,"Audi RS 4 Avant 2001Autoshow, Wheelspin",175000,COMMON,B544
513,"Porsche Cayman GT3 WTAC 2005Autoshow, Wheelspin",180000,EPIC,S2856
239,"Formula Drift #151 Toyota GR Supra 2020Autoshow, Wheelspin",185000,EPIC,S1779
229,"Ford #5 Escort RS1800 MkII 1977Autoshow, Wheelspin, Aftermarket Car",185000,EPIC,B544
23,"Ariel Atom 500 V8 2013Autoshow, Wheelspin, Aftermarket Car",190000,EPIC,S2825
60,"BAC Mono 2014Autoshow, Wheelspin, Aftermarket Car",196000,EPIC,S1766
78,"BMW M3 GTS 2010Autoshow, Wheelspin",198000,EPIC,A678
503,"Porsche Taycan Turbo S 2020Autoshow, Wheelspin",200000,COMMON,S1725
449,"Nissan Skyline GT-R V·Spec II 2000Autoshow, Wheelspin",200000,RARE,B590
238,"Formula Drift #64 Forsberg Racing Nissan Z 2023Autoshow, Wheelspin",200000,EPIC,S1783
161,"Ferrari Portofino 2018Autoshow, Wheelspin, Aftermarket Car",200000,EPIC,S1714
331,"Lamborghini Huracán LP 610-4 2014Autoshow, Wheelspin, Loyalty Reward",200000,EPIC,S1738
172,"Ferrari 458 Italia 2009Autoshow, Wheelspin",210000,EPIC,S1721
334,"Lamborghini Gallardo LP570-4 Spyder Performante 2012Autoshow, Wheelspin",210000,EPIC,A685
230,"Ford XB Falcon GT 1973Autoshow, Wheelspin",218000,RARE,C422
360,"Maserati MC20 2022Autoshow, Wheelspin",220000,EPIC,S1753
382,"McLaren Artura 2023Autoshow, Wheelspin",220000,EPIC,S1766
419,"MG Metro 6R4 1986Autoshow, Wheelspin, Earn 2,500 points in the ""Dirt Racing"" category in the Collection Journal",220000,LEGENDARY,A627
422,"MINI X-Raid All4 Racing Countryman 2013Autoshow, Wheelspin",220000,EPIC,B523
414,"Mercedes-Benz AMG Hammer Coupe 1987Autoshow, Wheelspin",225000,COMMON,B565
406,"Mercedes-Benz Unimog U5023 2014Autoshow, Wheelspin",235000,RARE,D100
359,"Lucid Air Sapphire 2024Autoshow, Wheelspin",240000,RARE,S2820
222,"Ford Supervan 3 1994Autoshow, Wheelspin",250000,EPIC,S1740
166,"Ferrari 488 GTB 2015Autoshow, Wheelspin",250000,EPIC,S1770
257,"GR GR GT (Prototype) 2025Autoshow, Wheelspin",250000,LEGENDARY,S1771
477,"Nissan Fairlady Z 432 1969Autoshow, Wheelspin",250000,EPIC,D369
133,"DeBerti Chevrolet Silverado 1500 Drift Truck 2018Autoshow, Wheelspin",250000,EPIC,S1707
131,"DeBerti Toyota Tacoma TRD 'The Performance Truck' 2019Autoshow, Wheelspin",250000,COMMON,S1717
87,"BMW M3 1988Autoshow, Wheelspin",250000,RARE,C474
116,"Chevrolet Corvette ZR-1 1970Autoshow, Wheelspin",250000,EPIC,C497
510,"Porsche Macan LPR Rally Raid 2018Autoshow, Wheelspin",250000,EPIC,B528
502,"Porsche 911 GT3 2021Autoshow, Wheelspin",260000,EPIC,S1752
127,"Chevrolet Corvette 1953Autoshow, Wheelspin",269000,LEGENDARY,D270
440,"Nissan GT-R NISMO (R35) 2020Autoshow, Wheelspin",270000,EPIC,S1736
244,"Formula Drift #777 Chevrolet Corvette 2013Autoshow, Wheelspin",275000,EPIC,S1760
132,"DeBerti Ford Super Duty F-250 Lariat 'Transformer' 2019Autoshow, Wheelspin",275000,EPIC,B548
497,"Porsche 911 Turbo S 2023Autoshow, Wheelspin",275000,RARE,S1774
