Brand,Vehicle,Year,Value,Collection,Car Type,PI,Owned
BMW,M5 ,1988,54000,Autoshow,Retro Saloons,C 594,
BMW,M3 ,1991,70000,Autoshow,Retro Saloons,C 598,
BMW,M5 ,1995,25000,Autoshow,Retro Saloons,B 655,
BMW,M3 ,1997,35000,Autoshow,Retro Saloons,B 654,
BMW,M3 Horizon Edition ,1997,85000,Autoshow,Retro Saloons,A 775,
BMW,M3 ,2005,33000,Autoshow,Super Saloons,B 671,
BMW,M3 ,2008,48000,Autoshow,Super Saloons,A 734,
BMW,1 Series M Coupe ,2011,55000,Autoshow,Super Saloons,A 722,
BMW,X5 M ,2011,100000,Autoshow,Sports Utility Heroes,B 699,
BMW,Z4 sDrive35is ,2011,58000,Autoshow,European Sports Cars,A 715,
BMW,M5 ,2012,112000,Autoshow,Super Saloons,A 795,
BMW,M6 Coupe ,2013,120000,Autoshow,GT Cars,A 770,
BMW,#55 BMW Team RLL Z4 GTE ,2014,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 952,
BMW,M235i ,2014,72000,Autoshow,Super Saloons,B 700,
BMW,M4 Coupe ,2014,92000,Autoshow,Super Saloons,A 800,
BMW,M4 Coupe Horizon Edition ,2014,142000,Autoshow,Super Saloons,S1 826,
BMW,i8 ,2015,140000,Autoshow (DLC: Rockstar Energy Car Pack),Modern Supercars,A 796,
BMW,X6 M ,2015,130000,Autoshow,Sports Utility Heroes,A 719,
BMW,M2 Coupé ,2016,69000,Autoshow (DLC: The Smoking Tire Car Pack),European Sports Cars,A 723,
BMW,M4 GTS ,2016,135000,Autoshow (DLC: Alpinestars Car Pack),Super Saloons,S1 849,
Bowler,EXR S ,2012,200000,Autoshow,Extreme Offroad,S1 809,
Bugatti,EB110 Super Sport ,1992,1700000,Autoshow,Retro Supercars,S1 841,
Bugatti,Veyron Super Sport ,2011,2200000,Autoshow,Hypercars,S2 934,
Buick,Regal GNX ,1987,130000,Autoshow,Retro Muscle,C 548,
Cadillac,CTS-V Coupe ,2011,63000,Autoshow,Modern Muscle,A 739,
Cadillac,Escalade ESV ,2012,90000,Autoshow,Sports Utility Heroes,B 643,
Cadillac,ATS-V ,2016,65000,Autoshow (DLC: Playseat Car Pack),Modern Muscle,A 728,
Cadillac,CTS-V Sedan ,2016,80000,Autoshow,Modern Muscle,A 769,
Caterham,Superlight R500 ,2013,82000,Autoshow,Extreme Track Toys,A 751,
Chevrolet,Corvette ,1953,135000,Autoshow,Cult Classics,D 428,
Chevrolet,Bel Air ,1957,130000,Autoshow,Rods and Customs,D 485,
Chevrolet,Corvette ,1960,150000,Autoshow,Cult Classics,C 513,
Chevrolet,Impala Super Sport 409 ,1964,46000,Autoshow,Rods and Customs,C 537,
Chevrolet,Nova Super Sport ,1966,70000,Autoshow,Classic Muscle,C 532,
Chevrolet,Chevelle Super Sport 396 ,1967,83000,Autoshow,Classic Muscle,C 534,
Chevrolet,Corvette Stingray 427 ,1967,150000,Autoshow,Classic Muscle,C 572,
Chevrolet,Camaro Super Sport Coupe ,1969,110000,Autoshow,Classic Muscle,C 528,
Chevrolet,Camaro Super Sport Coupe Horizon Edition ,1969,160000,Wheelspin,Classic Muscle,B 612,
Chevrolet,Camaro Z28 ,1970,53000,Autoshow,Classic Muscle,C 527,
Chevrolet,Chevelle Super Sport 454 ,1970,80000,Autoshow,Classic Muscle,C 524,
Chevrolet,Chevelle Super Sport 454 Horizon Edition ,1970,130000,Forzathon,Classic Muscle,B 604,
Chevrolet,Corvette ZR-1 ,1970,310000,Autoshow,Classic Muscle,C 563,
Chevrolet,El Camino Super Sport 454 ,1970,65000,Autoshow,Vans and Utility,C 538,
Chevrolet,Vega GT ,1971,75000,Autoshow (DLC: Mountain Dew Car Pack),Classic Muscle,D 397,
Chevrolet,Camaro Z28 ,1979,35000,Autoshow,Classic Muscle,D 495,
Chevrolet,Monte Carlo Super Sport ,1988,25000,Autoshow,Retro Muscle,C 538,
Chevrolet,Camaro IROC-Z ,1990,25000,Autoshow,Retro Muscle,C 540,
Chevrolet,Corvette ZR-1 ,1995,45000,Autoshow,Retro Muscle,A 735,
Chevrolet,Corvette Z06 ,2002,35000,Autoshow,Modern Muscle,A 745,
Chevrolet,Corvette ZR1 ,2009,125000,Autoshow,Modern Muscle,S1 829,
Chevrolet,#3 Corvette Racing Corvette C7.R ,2014,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 954,
Chevrolet,Super Sport ,2014,55000,Autoshow,Modern Muscle,A 722,
Chevrolet,Camaro Z/28 ,2015,86000,Autoshow,Modern Muscle,S1 837,
Chevrolet,Corvette Z06 ,2015,110000,Autoshow,Modern Muscle,S1 883,
Chevrolet,Corvette Z06 Horizon Edition ,2015,110000,Wheelspin,Modern Muscle,S1 883,
Chevrolet,Camaro Super Sport ,2016,45000,Autoshow,Modern Muscle,A 737,
Chevrolet,Camaro ZL1 ,2017,60000,Autoshow (DLC: Duracell Car Pack),Modern Muscle,S1 841,
Chrysler,VH Valiant Charger R/T E49 ,1972,60000,Autoshow (DLC: Hot Wheels Expansion),Classic Muscle,C 529,
Chrysler,300 SRT8 ,2012,50000,Autoshow,Modern Muscle,A 715,
Datsun,2000 Roadster ,1969,25000,Autoshow,Cult Classics,D 219,
Datsun,510 ,1970,25000,Autoshow,Cult Classics,D 252,
Dodge,Dart HEMI Super Stock ,1968,125000,Autoshow,Classic Muscle,B 670,
Dodge,Dart Hemi Super Stock Horizon Edition ,1968,175000,Autoshow,Classic Muscle,A 762,
Dodge,Charger Daytona HEMI ,1969,900000,Barn Find,Classic Muscle,C 549,
Dodge,Charger R/T ,1969,103000,Autoshow,Classic Muscle,C 534,
Dodge,Challenger R/T ,1970,210000,Autoshow,Classic Muscle,C 540,
Dodge,Viper GTS ACR ,1999,75000,Autoshow,Retro Muscle,A 735,
Dodge,Viper SRT10 ACR ,2008,140000,Autoshow,Modern Muscle,S1 891,
Dodge,Viper SRT10 ACR Horizon Edition ,2008,190000,Wheelspin,Modern Muscle,S2 912,
Dodge,Dart GT ,2013,22000,Autoshow (DLC: Mountain Dew Car Pack),Hot Hatch,C 567,
Dodge,#93 SRT Motorsports Viper GTS-R ,2014,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 950,
Dodge,Challenger SRT Hellcat ,2015,75000,Autoshow,Modern Muscle,A 766,
Dodge,Challenger SRT Hellcat Horizon Edition ,2015,75000,Wheelspin,Modern Muscle,A 766,
Dodge,Challenger SRT Hellcat Preorder Car ,2015,75000,Autoshow,Modern Muscle,A 800,
Dodge,Charger SRT Hellcat ,2015,80000,Autoshow,Modern Muscle,A 773,
Dodge,Viper ACR ,2016,130000,Autoshow (DLC: Alpinestars Car Pack),Modern Muscle,S2 927,
Donkervoort,D8 GTO ,2013,175000,Autoshow,Extreme Track Toys,S1 828,
Ferrari,166MM Barchetta ,1948,6500000,Autoshow (DLC: All-Stars Car Pack),Classic Racers,C 514,
Ferrari,500 Mondial ,1953,1000000,Autoshow,Classic Racers,C 527,
Ferrari,250 California ,1957,8000000,Autoshow,Rare Classics,C 537,
Ferrari,250 Testa Rossa ,1957,10000000,Autoshow,Classic Racers,B 673,
Ferrari,250 GT Berlinetta Lusso ,1962,2600000,Autoshow,Rare Classics,C 551,
Ferrari,250 GTO ,1962,10000000,Autoshow,Classic Racers,B 660,
Ferrari,250LM ,1963,10000000,Forzathon,Classic Racers,B 638,
Ferrari,330 P4 ,1967,2300000,Autoshow,Classic Racers,A 765,
Ferrari,365 GTB/4 ,1968,600000,Autoshow,Rare Classics,C 584,
Ferrari,Dino 246 GT ,1969,425000,Barn Find,Rare Classics,C 542,
Ferrari,288 GTO ,1984,3100000,Autoshow,Retro Supercars,A 733,
Ferrari,F40 ,1987,1200000,Autoshow,Retro Supercars,A 776,
Ferrari,512 TR ,1992,270000,Autoshow,Retro Supercars,A 726,
Ferrari,F355 Berlinetta ,1994,190000,Autoshow,Retro Supercars,A 734,
Ferrari,F50 ,1995,2000000,Autoshow,Retro Supercars,A 787,
Ferrari,F50 GT ,1996,1200000,Autoshow (DLC: Mountain Dew Car Pack),Extreme Track Toys,S2 990,
Ferrari,575M Maranello ,2002,140000,Autoshow,Retro Supercars,A 731,
Ferrari,Enzo ,2002,2800000,Autoshow,Modern Supercars,S1 881,
Ferrari,360 Challenge Stradale ,2003,200000,Autoshow,Modern Supercars,S1 810,
Ferrari,430 Scuderia ,2007,300000,Autoshow,Modern Supercars,S1 838,
Ferrari,California ,2008,150000,Autoshow,GT Cars,A 754,
Ferrari,458 Italia ,2009,225000,Autoshow,Modern Supercars,S1 849,
Ferrari,599 GTO ,2010,690000,Autoshow,Super GT,S1 881,
Ferrari,599XX ,2010,1000000,Forzathon,Extreme Track Toys,S2 947,
Ferrari,FF ,2011,255000,Autoshow,Modern Supercars,S1 830,
Ferrari,F12berlinetta ,2012,380000,Autoshow,Super GT,S1 875,
Ferrari,458 Speciale ,2013,340000,Autoshow,Modern Supercars,S2 903,
Ferrari,LaFerrari ,2013,1500000,Autoshow,Hypercars,S2 981,
Ferrari,#51 AF Corse 458 Italia GTE ,2014,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 952,
Ferrari,California T ,2014,240000,Autoshow,Super GT,S1 805,
Ferrari,FXX K ,2014,2700000,Autoshow,Extreme Track Toys,S2 998,
Ferrari,488 GTB ,2015,290000,Autoshow,Modern Supercars,S1 900,
Ferrari,488 GTB Preorder Car ,2015,290000,Autoshow,Modern Supercars,S1 900,
Ferrari,F12tdf ,2015,500000,Autoshow (DLC: VIP),Super GT,S2 916,
FIAT,8V Supersonic ,1952,1800000,Autoshow,Rare Classics,D 222,
FIAT,Dino 2.4 Coupé ,1969,60000,Autoshow,Classic Racers,D 336,
FIAT,X1/9 ,1975,25000,Autoshow,Cult Classics,D 159,
FIAT,124 Sport Spider ,1980,25000,Autoshow,Cult Classics,D 308,
Ford,De Luxe Five-Window Coupe ,1932,35000,Barn Find (DLC: Hot Wheels Expansion),Rods and Customs,D 100,
Ford,De Luxe Coupe ,1940,44000,Autoshow,Rods and Customs,D 100,
Ford,Super Deluxe Station Wagon ,1946,75000,Barn Find,Classic Muscle,D 100,
Ford,F-100 ,1956,36000,Autoshow,Rods and Customs,D 181,
Ford,F-100 Flareside Abatti Racing Trophy Truck ,1966,300000,Autoshow (DLC: Blizzard Mountain Expansion),Extreme Offroad,A 789,
Ford,GT40 Mk II ,1966,3300000,Autoshow,Classic Racers,A 773,
Ford,Lotus Cortina ,1966,50000,Autoshow,Classic Racers,D 317,
Ford,Falcon XR GT ,1967,55000,Autoshow (DLC: Alpinestars Car Pack),Classic Muscle,C 503,
Ford,Mustang Boss 302 ,1969,230000,Autoshow,Classic Muscle,C 529,
Ford,Mustang Boss 302 Horizon Edition ,1969,280000,Wheelspin,Classic Muscle,B 649,
Ford,Falcon XY GTHO Phase III ,1971,60000,Autoshow,Classic Muscle,C 518,
Ford,Falcon XA GT-HO ,1972,80000,Autoshow (DLC: Rockstar Energy Car Pack),Classic Muscle,C 551,
Ford,Capri RS3100 ,1973,55000,Autoshow,Cult Classics,D 480,
Ford,Escort RS1600 ,1973,73000,Autoshow,Classic Rally,D 451,
Ford,XB Falcon GT ,1973,60000,Barn Find,Classic Muscle,C 515,
Ford,Bronco ,1975,38000,Autoshow,Offroad,D 378,
Ford,Escort RS1800 ,1977,88000,Autoshow,Classic Rally,D 252,
Ford,Mustang II King Cobra ,1978,25000,Autoshow,Classic Muscle,D 464,
Ford,Fiesta XR2 ,1981,25000,Autoshow,Retro Hot Hatch,D 278,
Ford,RS200 Evolution ,1985,260000,Autoshow,Rally Monsters,S1 848,
Ford,Sierra Cosworth RS500 ,1987,66000,Autoshow,Retro Saloons,B 620,
Ford,Escort RS Cosworth ,1992,66000,Autoshow,Retro Rally,C 594,
Ford,Escort RS Cosworth Horizon Edition ,1992,116000,Wheelspin,Retro Rally,A 729,
Ford,Falcon GT ,1992,25000,Autoshow (DLC: Duracell Car Pack),Retro Muscle,C 597,
Ford,SVT Cobra R ,1993,28000,Autoshow,Retro Muscle,C 574,
Ford,SVT Cobra R ,1995,29000,Autoshow,Retro Muscle,B 607,
Ford,SVT Cobra R ,2000,55000,Autoshow,Retro Muscle,B 673,
Ford,Focus RS ,2003,30000,Autoshow,Super Hot Hatch,B 608,
Ford,GT ,2005,300000,Autoshow,Modern Supercars,S2 913,
Ford,Focus RS ,2009,44000,Autoshow,Super Hot Hatch,B 655,
Ford,Crown Victoria Police Interceptor ,2010,25000,Autoshow (DLC: The Smoking Tire Car Pack),Retro Muscle,C 562,
Ford,F-150 SVT Raptor ,2011,42000,Autoshow,Offroad,B 627,
Ford,Transit SuperSportVan ,2011,50000,Autoshow,Vans and Utility,D 371,
Ford,F-150 SVT Raptor Shelby ,2013,85000,Autoshow,Offroad,B 666,
Ford,Focus ST ,2013,35000,Autoshow,Super Hot Hatch,B 636,
Ford,Shelby GT500 ,2013,115000,Autoshow,Modern Muscle,A 789,
Ford,#11 Rockstar F-150 Trophy Truck ,2014,600000,Autoshow (DLC: Rockstar Energy Car Pack),Extreme Offroad,A 798,
Ford,Fiesta ST ,2014,25000,Autoshow,Hot Hatch,B 604,
Ford,FPV Limited Edition Pursuit Ute ,2014,50000,Autoshow,Vans and Utility,B 680,
Ford,FPV Limited Edition Pursuit Ute Horizon Edition ,2014,100000,Wheelspin,Vans and Utility,A 715,
Ford,Ranger T6 Rally Raid ,2014,875000,Autoshow,Extreme Offroad,A 763,
Ford,#17 Xbox Racing Ford Falcon FG X ,2015,650000,Forzathon,Extreme Track Toys,S1 900,
Ford,Falcon GT F 351 ,2015,60000,Autoshow (DLC: VIP),Modern Muscle,A 728,
Ford,Falcon XR8 ,2015,60000,Autoshow,Modern Muscle,A 715,
Ford,#55 Supercheap Falcon FG X ,2016,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S1 900,
Ford,#66 Ford Racing GT Le Mans ,2016,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 966,
Ford,Gymkhana 9 Focus RS RX ,2016,500000,Autoshow (DLC: Blizzard Mountain Expansion),Rally Monsters,S1 896,
Ford,Shelby GT350R ,2016,75000,Autoshow,Modern Muscle,S1 820,
Ford,Shelby GT350R Preorder Car ,2016,75000,Autoshow,Modern Muscle,S1 900,
Ford,F-150 Raptor ,2017,63000,Autoshow,Offroad,B 636,
Ford,F-150 Raptor Horizon Edition ,2017,113000,Wheelspin,Offroad,A 738,
Ford,F-150 Raptor Race Truck ,2017,63000,Autoshow,Offroad,B 636,
Ford,Focus RS ,2017,43000,Autoshow,Super Hot Hatch,A 784,
Ford,Focus RS Horizon Edition ,2017,93000,Wheelspin,Super Hot Hatch,A 784,
Ford,GT ,2017,400000,Autoshow,Modern Supercars,S2 913,
Ford,GT Horizon Edition ,2017,400000,Wheelspin,Modern Supercars,S2 932,
GMC,Vandura G-1500 ,1983,25000,Autoshow,Vans and Utility,D 176,
GMC,Syclone ,1991,25000,Autoshow,Vans and Utility,C 588,
HDT,VK Commodore Group A ,1985,28000,Autoshow (DLC: Playseat Car Pack),Retro Muscle,C 579,
Hennessey,Venom GT ,2012,1200000,Autoshow,Hypercars,S2 941,
Holden,50-2106 FX Ute ,1951,35000,Barn Find,Vans and Utility,D 100,
Holden,FX Sedan ,1951,33000,Autoshow (DLC: Mountain Dew Car Pack),Cult Classics,D 100,
Holden,HQ Monaro GTS 350 ,1973,75000,Barn Find,Classic Muscle,C 514,
Holden,Sandman HQ Panelvan ,1974,55000,Barn Find,Vans and Utility,C 502,
Holden,Torana A9X ,1977,130000,Autoshow,Classic Muscle,D 494,
Holden,Torana A9X Horizon Edition ,1977,180000,Wheelspin,Classic Muscle,C 577,
Holden,VL Commodore Group A SV ,1988,46000,Autoshow,Retro Muscle,C 542,
Holden,#22 Sharkbite HRT VF Commodore ,2016,650000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S1 900,
Honda,S800 ,1970,25000,Autoshow (DLC: Playseat Car Pack),Cult Classics,D 229,
Honda,NSX-R ,1992,90000,Autoshow,Asian Sports Cars,B 664,
Honda,Civic Type R ,1997,25000,Autoshow,Retro Hot Hatch,C 565,
Honda,Civic Type-R ,2004,25000,Autoshow,Hot Hatch,C 573,
Honda,NSX-R ,2005,150000,Autoshow,Asian Sports Cars,B 684,
Honda,S2000 CR ,2009,25000,Autoshow,Asian Sports Cars,B 620,
Honda,Civic Type R ,2016,38000,Autoshow (DLC: Playseat Car Pack),Super Hot Hatch,A 713,
Hoonigan,Chevrolet Bel Air ,1955,76000,Autoshow (DLC: Hoonigan Car Pack),Rods and Customs,C 592,
Hoonigan,"Ford ""Hoonicorn"" Mustang ",1965,1000000,Autoshow (DLC: Hoonigan Car Pack),Extreme Track Toys,S2 962,
Hoonigan,"Chevrolet ""Napalm Nova"" ",1972,50000,Autoshow (DLC: Hoonigan Car Pack),Classic Muscle,A 721,
Hoonigan,Ford Escort RS1800 ,1978,150000,Autoshow (DLC: Hoonigan Car Pack),Extreme Track Toys,S1 807,
Hoonigan,"Baldwin Motorsports ""Loki"" K5 Blazer ",1979,250000,Autoshow (DLC: Hoonigan Car Pack),Extreme Offroad,A 747,
Hoonigan,Rauh-Welt Begriff Porsche 911 Turbo ,1991,160000,Autoshow (DLC: Hoonigan Car Pack),Extreme Track Toys,S1 855,
Hoonigan,Mazda RX-7 Twerkstallion ,1992,30000,Autoshow (DLC: Hoonigan Car Pack),Extreme Track Toys,S1 825,
Hot Wheels,Twin Mill ,1969,110000,Autoshow (DLC: Hot Wheels Expansion),Rods and Customs,S1 900,
Hot Wheels,Bone Shaker ,2005,150000,Autoshow (DLC: Hot Wheels Expansion),Rods and Customs,A 797,
Hot Wheels,Mustang ,2005,50000,Autoshow (DLC: Hot Wheels Expansion),Extreme Track Toys,S1 900,
Hot Wheels,Rip Rod ,2012,75000,Autoshow (DLC: Hot Wheels Expansion),Buggies,B 700,
HSV,GTSR ,1996,85000,Autoshow (DLC: Logitech G Car Pack),Retro Muscle,B 669,
HSV,GTS ,2014,75000,Autoshow,Modern Muscle,A 735,
HSV,Limited Edition Gen-F GTS Maloo ,2014,62000,Autoshow,Vans and Utility,A 760,
Hummer,H1 Alpha ,2006,112000,Autoshow,Offroad,C 562,
Hyundai,Genesis Coupe 3.8 Track ,2013,32000,Autoshow,Asian Sports Cars,B 698,
Infiniti,IPL G Coupe ,2012,52000,Autoshow,Asian Sports Cars,B 679,
Infiniti,Q50 Eau Rouge ,2014,100000,Autoshow,Super Saloons,A 798,
Infiniti,Q60 Concept ,2015,50000,Autoshow,Super Saloons,A 743,
International,Scout 800A ,1970,40000,Autoshow (DLC: Blizzard Mountain Expansion),Offroad,D 342,
Jaguar,XK 120 SE ,1954,120000,Autoshow,Rare Classics,D 484,
Jaguar,D-Type ,1956,2700000,Autoshow,Classic Racers,B 672,
Jaguar,Mk II 3.8 ,1959,80000,Barn Find,Classic Racers,D 278,
Jaguar,E-type S1 ,1961,150000,Autoshow,Rare Classics,C 538,
Jaguar,XJ-S ,1990,25000,Autoshow,Cult Classics,C 594,
Jaguar,XJ220 ,1993,350000,Autoshow,Retro Supercars,A 782,
Jaguar,XJ220 Horizon Edition ,1993,400000,Wheelspin,Retro Supercars,S1 859,
Jaguar,F-TYPE R Coupe ,2015,110000,Autoshow,GT Cars,A 780,
Jaguar,XE-S ,2015,57000,Autoshow (DLC: Duracell Car Pack),Super Saloons,A 727,
Jaguar,XFR-S ,2015,110000,Autoshow,Super Saloons,A 754,
Jaguar,XKR-S GT ,2015,190000,Autoshow,Super GT,S1 804,
Jaguar,F-TYPE Project 7 ,2016,190000,Autoshow,Extreme Track Toys,S1 804,
Jaguar,F-Type Project 7 Horizon Edition ,2016,240000,Wheelspin,Extreme Track Toys,S1 830,
Jaguar,F-TYPE Project 7 Preorder Car ,2016,190000,Autoshow,Extreme Track Toys,S1 900,
Jaguar,F-Pace S ,2017,55000,Autoshow (DLC: Logitech G Car Pack),Sports Utility Heroes,B 671,
Jeep,Willys MB ,1945,26000,Autoshow,Offroad,D 114,
Jeep,CJ5 Renegade ,1976,60000,Autoshow (DLC: The Smoking Tire Car Pack),Offroad,D 333,
Jeep,Grand Wagoneer ,1991,26000,Autoshow,Cult Classics,D 270,
Jeep,Wrangler Rubicon ,2012,50000,Autoshow,Offroad,C 574,
Jeep,Grand Cherokee SRT ,2014,80000,Autoshow,Sports Utility Heroes,A 722,
Jeep,Trailcat ,2016,75000,Autoshow (DLC: Hot Wheels Expansion),Extreme Offroad,S1 817,
Koenigsegg,Agera ,2011,1500000,Autoshow,Hypercars,S2 929,
Koenigsegg,One:1 ,2015,2850000,Autoshow,Hypercars,S2 993,
Koenigsegg,Regera ,2016,1900000,Autoshow (DLC: VIP),Hypercars,S2 939,
KTM,X-Bow R ,2013,105000,Autoshow,Extreme Track Toys,S1 826,
Lamborghini,Miura P400 ,1967,1000000,Autoshow,Rare Classics,C 568,
Lamborghini,LM 002 ,1986,180000,Barn Find,Offroad,B 631,
Lamborghini,Countach LP5000 QV ,1988,220000,Autoshow,Retro Supercars,A 729,
Lamborghini,Countach LP5000 QV Horizon Edition ,1988,270000,Wheelspin,Retro Supercars,S1 836,
Lamborghini,Jalpa ,1988,85000,Autoshow,Retro Supercars,B 605,
Lamborghini,Diablo SV ,1997,174000,Autoshow,Retro Supercars,A 787,
Lamborghini,Reventón ,2008,1375000,Autoshow,Modern Supercars,S1 848,
Lamborghini,Murciélago LP 670-4 SV ,2010,500000,Autoshow,Modern Supercars,S1 862,
Lamborghini,Gallardo LP 570-4 Superleggera ,2011,180000,Autoshow,Modern Supercars,S1 851,
Lamborghini,Sesto Elemento ,2011,2500000,Forzathon,Extreme Track Toys,S2 959,
Lamborghini,Aventador LP700-4 ,2012,310000,Autoshow,Hypercars,S2 904,
Lamborghini,Veneno ,2013,4500000,Autoshow,Hypercars,S2 964,
Lamborghini,Huracan LP 610-4 Horizon Edition ,2014,290000,Wheelspin,Modern Supercars,S1 891,
Lamborghini,Huracán LP 610-4 ,2014,240000,Autoshow,Modern Supercars,S1 891,
Lamborghini,Urus Concept ,2014,150000,Autoshow,Sports Utility Heroes,A 799,
Lamborghini,#63 Squadra Corse Huracán LP620-2 Super Trofeo ,2015,600000,Autoshow (DLC: All-Stars Car Pack),Extreme Track Toys,S2 958,
Lamborghini,Aventador LP750-4 SV ,2016,480000,Autoshow (DLC: VIP),Hypercars,S2 922,
Lamborghini,Centenario LP 770-4 ,2016,2300000,Autoshow,Hypercars,S2 956,
Lancia,Fulvia Coupé Rallye 1.6 HF ,1968,60000,Autoshow,Classic Rally,D 386,
