Car Model,Car Type,Added,Collect,Collection,Nickname, Value ,Rarity,PI,Owned
1998 Mitsubishi FTO GP Version R,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Mitsubishi FTO," 250,000 ",COMMON,C 585,0
2018 Morgan Aero GT,Track Toys,Series 28,"Backstage, Seasonal","""Hard to Find""",Morgan Aero GT," 150,000 ",RARE,A 784,0
2020 Nissan GT-R NISMO (R35),Track Toys,Series 5,"Backstage, Seasonal","""Hard to Find""",Nissan GTR '20," 250,000 ",EPIC,S1 846,0
2024 Nissan Z NISMO,Modern Sports Cars,Series 41,"Backstage, Seasonal","""Hard to Find""",Z NISMO '24," 250,000 ",EPIC,A 765,0
2011 Pagani Huayra Coupe,Hypercars,Series 29,"Backstage, Wheelspin, Seasonal","""Hard to Find""",Pagani Huayra," 1,400,000 ",LEGENDARY,S1 900,0
2021 Polaris RZR Pro XP Ultimate,UTV's,Series 18,"Backstage, Seasonal","""Hard to Find""",Polaris RZR Pro," 250,000 ",RARE,C 593,0
1968 Pontiac Firebird,Classic Muscle,Series 27,"Backstage, Seasonal","""Hard to Find""",Firebird '68," 250,000 ",EPIC,C 533,0
1969 Pontiac GTO Judge,Classic Muscle,Series 27,"Backstage, Seasonal","""Hard to Find""",Pontiac GTO '69," 250,000 ",RARE,C 545,0
1951 Porsche #46 356 SL Gmünd Coupe,Classic Racers,Series 26,"Backstage, Seasonal","""Hard to Find""",Porsche 356 SL," 1,000,000 ",LEGENDARY,D 243,0
1964 Porsche 356 C Cabriolet Emory Special,Classic Sports Cars,Series 10,"Backstage, Seasonal","""Hard to Find""",Emory 356 C '64," 400,000 ",EPIC,B 651,0
2022 Rivian R1S,Sports Utility Heroes,Series 25,"Backstage, Seasonal","""Hard to Find""",Rivian R1S," 250,000 ",RARE,A 726,0
2021 SIERRA Cars 700R,UTV's,Series 18,"Backstage, Seasonal","""Hard to Find""",SIERRA 700R," 250,000 ",RARE,D 414,0
2016 Spania GTA GTA Spano,Modern Supercars,Series 29,"Backstage, Seasonal","""Hard to Find""",GTA Spano," 800,000 ",EPIC,S2 915,0
1990 SUBARU Legacy RS,Retro Rally,Series 11,"Backstage, Seasonal","""Hard to Find""",Subaru Legacy RS," 250,000 ",COMMON,C 514,0
1996 SUBARU SVX,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Subaru SVX," 250,000 ",COMMON,C 574,0
1998 SUBARU Impreza 22B-STi Version,Retro Rally,Launch,"Backstage, Wheelspin, Seasonal",Wheelspin,Subaru 22B," 110,000 ",LEGENDARY,B 640,0
2022 SUBARU BRZ,Modern Sports Cars,Series 28,"Backstage, Seasonal","""Hard to Find""",SUBARU BRZ '22," 250,000 ",EPIC,B 673,0
1997 Toyota Soarer 2.5 GT-T,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Soarer '97," 250,000 ",RARE,B 601,0
2007 Toyota Hilux Arctic Trucks AT38,Pickups & 4x4s,Series 3,"Backstage, Seasonal","""Hard to Find""",Toyota AT38," 250,000 ",RARE,D 457,0
2019 Toyota 4Runner TRD Pro,Pickups & 4x4s,Series 5,"Backstage, Seasonal","""Hard to Find""",Toyota 4Runner," 250,000 ",RARE,C 531,0
1990 Vauxhall Lotus Carlton,Retro Saloons,Series 3,"Backstage, Seasonal","""Hard to Find""",Vaux Carlton," 250,000 ",RARE,B 635,0
1963 Volkswagen Beetle Forza Edition,Track Toys,Launch,Accolade,"""Flexibility Beats Everything"" accolade",Beetle '63 FE," 500,000 ",FORZA EDITION,S1 900,0
2021 Volkswagen ID.4,Hot Hatch,Series 31,"Backstage, Seasonal","""Hard to Find""",VW ID.4 '21," 250,000 ",RARE,C 527,0
2016 W Motors Lykan HyperSport,Hypercars,Series 29,"Backstage, Seasonal","""Hard to Find""",Lykan Hypersport," 3,000,000 ",LEGENDARY,S1 877,0
