Vehicle, Value ,Collection,Rarity,PI,Owned
2022 Porsche Mission R ," 10,000,000 ","""Hard to Find""",LEGENDARY,S2 925,0
2010 Renault Megane RS 250 ," 250,000 ","""Hard to Find""",COMMON,B 657,0
2022 Rivian R1S ," 250,000 ","""Hard to Find""",RARE,A 726,0
2021 SIERRA Cars 700R ," 250,000 ","""Hard to Find""",RARE,D 414,0
2016 Spania GTA GTA Spano ," 800,000 ","""Hard to Find""",EPIC,S2 915,0
1990 SUBARU Legacy RS ," 250,000 ","""Hard to Find""",COMMON,C 514,0
1996 SUBARU SVX ," 250,000 ","""Hard to Find""",COMMON,C 574,0
1998 SUBARU Impreza 22B-STi Version ," 110,000 ",Wheelspin,LEGENDARY,B 640,0
2022 SUBARU BRZ ," 250,000 ","""Hard to Find""",EPIC,B 673,0
1997 Toyota Soarer 2.5 GT-T ," 250,000 ","""Hard to Find""",RARE,B 601,0
2007 Toyota Hilux Arctic Trucks AT38 ," 250,000 ","""Hard to Find""",RARE,D 457,0
2019 Toyota 4Runner TRD Pro ," 250,000 ","""Hard to Find""",RARE,C 531,0
1990 Vauxhall Lotus Carlton ," 250,000 ","""Hard to Find""",RARE,B 635,0
1963 Volkswagen Beetle Forza Edition ," 500,000 ","""Flexibility Beats Everything"" accolade",FORZA EDITION,S1 900,0
2021 Volkswagen ID.4 ," 250,000 ","""Hard to Find""",RARE,C 527,0
2016 W Motors Lykan HyperSport ," 3,000,000 ","""Hard to Find""",LEGENDARY,S1 877,0
