Car Model,Car Type,Added,Collect,Collection,Nickname, Value ,Rarity,PI,Owned
1968 Lancia Fulvia Coupe Rallye 1.6 HF,Classic Rally,Series 31,"Backstage, Seasonal","""Hard to Find""",Lancia Fulvia," 250,000 ",RARE,C 526,0
2021 Volkswagen ID.4,Hot Hatch,Series 31,"Backstage, Seasonal","""Hard to Find""",VW ID.4 '21," 250,000 ",RARE,C 527,0
2020 Audi TT RS Coupe,Modern Sports Cars,Series 32,"Backstage, Seasonal","""Hard to Find""",Audi RS 3 '20," 250,000 ",RARE,A 765,0
2023 McLaren Artura,Modern Supercars,Series 32,"Backstage, Seasonal","""Hard to Find""",McL. Artura '23," 285,000 ",EPIC,S1 860,0
2024 Ford Mustang GT,Modern Muscle,Series 32,"Backstage, Seasonal","""Hard to Find""",Ford Mustang '24," 250,000 ",EPIC,A 739,0
2023 Ford F-150 Raptor R,Pickups & 4x4s,Series 32,"Backstage, Seasonal","""Hard to Find""",Ford Raptor R," 250,000 ",EPIC,B 689,0
2020 Jaguar F-Type SVR,GT Cars,Series 32,"Backstage, Seasonal","""Hard to Find""",Jag F-TYPE SVR," 250,000 ",RARE,S1 806,0
1986 Citroën BX4TC,Retro Rally,Series 34,"Backstage, Seasonal","""Hard to Find""",Citroën BX4TC," 250,000 ",EPIC,C 567,0
2022 Hyundai N Vision 74,Track Toys,Series 34,"Backstage, Seasonal","""Hard to Find""",N Vision 74 '22," 250,000 ",RARE,A 799,0
1980 Lotus Esprit Turbo,Retro Supercars,Series 34,"Backstage, Seasonal","""Hard to Find""",Lotus Esprit '80," 250,000 ",RARE,C 538,0
1986 BMW M635CSi,Retro Saloons,Series 34,"Backstage, Seasonal","""Hard to Find""",BMW M6 '86," 250,000 ",COMMON,C 589,0
1997 Toyota Soarer 2.5 GT-T,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Soarer '97," 250,000 ",RARE,B 601,0
1998 Mitsubishi FTO GP Version R,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Mitsubishi FTO," 250,000 ",COMMON,C 585,0
1996 SUBARU SVX,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",Subaru SVX," 250,000 ",COMMON,C 574,0
1990 Aston Martin Lagonda,Retro Sports Cars,Series 39,"Backstage, Seasonal","""Hard to Find""",AM Lagonda '90," 250,000 ",RARE,C 502,0
2022 BMW M5 CS,Super Saloons,Series 41,"Backstage, Seasonal","""Hard to Find""",BMW M5 '22," 250,000 ",RARE,S1 827,0
2006 Mercedes-Benz E 55 AMG Wagon,Retro Saloons,Series 41,"Backstage, Seasonal","""Hard to Find""",M-B E 55 AMG," 250,000 ",RARE,B 698,0
2014 Cadillac CTS-V Sport Wagon,Modern Muscle,Series 41,"Backstage, Seasonal","""Hard to Find""",CTS-V Wagon '14," 250,000 ",RARE,A 724,0
1965 DeBerti Chevrolet C10 ‘Slayer’,Rods and Customs,Series 41,"Backstage, Seasonal","""Hard to Find""",C10 Slayer '65," 250,000 ",RARE,S1 802,0
2024 Nissan Z NISMO,Modern Sports Cars,Series 41,"Backstage, Seasonal","""Hard to Find""",Z NISMO '24," 250,000 ",EPIC,A 765,0
2022 Dodge Challenger SRT Super Stock,Modern Muscle,Series 43,"Backstage, Seasonal","""Hard to Find""",Challenger '22," 250,000 ",RARE,S1 802,0
1995 Ford Mustang SVT Cobra R,Retro Muscle,Series 43,"Backstage, Seasonal","""Hard to Find""",Ford Mustang '95," 250,000 ",COMMON,B 625,0
