Brand,Vehicle,Year, Value ,Collection,Rarity,PI,Owned
Ariel,Atom 500 V8 ,2013," 200,000 ","Autoshow, Wheelspin",EPIC,S2 924,
Ariel,Nomad ,2016," 93,000 ","Autoshow, Wheelspin",RARE,A 711,
Ascari,KZ1R ,2012," 250,000 ","""Hard to Find""",EPIC,S1 829,1
Aston Martin,DBR1 ,1958," 22,500,000 ",Autoshow,LEGENDARY,B 678,0
Aston Martin,DB5 ,1964," 800,000 ","Autoshow, Wheelspin",EPIC,C 548,
Aston Martin,Lagonda ,1990," 250,000 ","""Hard to Find""",RARE,C 502,0
Aston Martin,DBS ,2008," 325,000 ","""Hard to Find""",EPIC,A 746,1
Aston Martin,One-77 ,2010," 1,400,000 ",Autoshow,LEGENDARY,S1 843,
Aston Martin,V12 Vantage S ,2013," 240,000 ","Autoshow, Wheelspin",EPIC,A 796,
Aston Martin,Vantage GT12 ,2016," 400,000 ","""The Levels Advocate"" accolade",EPIC,S1 829,
Aston Martin,DB11 ,2017," 300,000 ","Autoshow, Wheelspin",EPIC,A 787,
Aston Martin,Vanquish Zagato Coupé ,2017," 660,000 ","""Hard to Find""",EPIC,S1 803,
Aston Martin,Vulcan AMR Pro ,2017," 2,000,000 ","Autoshow, Wheelspin, ""Humble Brag"" accolade",LEGENDARY,S2 953,
Aston Martin,DBS Superleggera ,2019," 350,000 ","Autoshow, Wheelspin",EPIC,S1 835,
Aston Martin,Valhalla Concept Car ,2019," 1,150,000 ","Autoshow, Wheelspin",LEGENDARY,S2 959,
Aston Martin,Vantage ,2019," 430,000 ","Autoshow, Wheelspin",EPIC,S1 801,
Aston Martin,DBX ,2021," 200,000 ",Autoshow (DLC: Car Pass),RARE,A 732,
Aston Martin,Valkyrie AMR Pro ,2022," 4,210,000 ","""Hard to Find""",LEGENDARY,S2 998,
Aston Martin,Valkyrie ,2023," 3,250,000 ","""Hard to Find""",LEGENDARY,S2 978,
ATS,GT ,2018," 850,000 ","""Hard to Find""",EPIC,S1 877,1
Audi,Sport quattro ,1983," 175,000 ","Autoshow, Wheelspin, ""Rally Hard"" accolade",EPIC,B 638,
Audi,#2 Audi Sport quattro S1 ,1986," 375,000 ","Grit Reapers: Win ""Reserva del Carrizo"", Autoshow (DLC: Rally Adventure)",LEGENDARY,S1 827,
Audi,Avant RS2 ,1995," 50,000 ","Autoshow, Wheelspin",COMMON,B 601,
Audi,RS 4 Avant ,2001," 94,000 ","Autoshow, Wheelspin",COMMON,B 663,
Audi,RS 6 ,2003," 105,000 ","Autoshow, Wheelspin",RARE,B 677,
Audi,RS 4 ,2006," 53,000 ","Autoshow, Wheelspin",RARE,A 710,
Audi,RS 6 ,2009," 155,000 ","Autoshow, Wheelspin",EPIC,A 722,
Audi,TT RS Coupé ,2010," 66,000 ","Autoshow, Wheelspin",RARE,A 707,
Audi,RS 3 Sportback ,2011," 42,000 ","Autoshow, Wheelspin",COMMON,B 682,
Audi,RS 5 Coupé ,2011," 88,000 ","Autoshow, Wheelspin",RARE,A 733,
Audi,R8 Coupé V10 plus 5.2 FSI quattro ,2013," 290,000 ",Wheelspin,EPIC,S1 802,
Audi,RS 4 Avant ,2013," 83,000 ","Autoshow, Wheelspin",RARE,A 728,
Audi,RS 7 Sportback ,2013," 225,000 ","Autoshow, Wheelspin",EPIC,A 739,
Audi,RS 6 Avant ,2015," 150,000 ","Autoshow, Wheelspin, ""Mega Master"" accolade",RARE,A 754,
Audi,S1 ,2015," 35,000 ","Autoshow, Wheelspin",COMMON,B 644,
Audi,TTS Coupé ,2015," 52,000 ","Autoshow, Wheelspin",COMMON,A 724,
Audi,R8 V10 plus ,2016," 242,000 ","Autoshow, Wheelspin",EPIC,S1 834,
Audi,RS 4 Avant ,2018," 250,000 ","""Hard to Find""",RARE,A 751,
Audi,RS 5 Coupé ,2018," 95,000 ",Autoshow (DLC: Car Pass),RARE,A 750,
Audi,TT RS ,2018," 75,000 ",Autoshow (DLC: Car Pass),RARE,A 748,
Audi,RS 3 Sedan ,2020," 60,000 ",Autoshow (DLC: Car Pass),RARE,A 734,
Audi,TT RS Coupe ,2020," 250,000 ","""Hard to Find""",RARE,A 765,0
Audi,RS 6 Avant ,2021," 250,000 ","""Hard to Find""",RARE,A 763,0
Audi,RS 7 Sportback ,2021," 250,000 ","""Hard to Find""",RARE,A 768,0
Audi,RS e-tron GT ,2021," 250,000 ","""Hard to Find""",EPIC,A 770,
Austin-Healey,Sprite MkI ,1958," 20,000 ","Autoshow, Wheelspin",COMMON,D 131,
Auto Union,Type D ,1939," 15,000,000 ","Autoshow, ""Fairy Tale Ending"" accolade",LEGENDARY,B 675,0
Automobili Pininfarina,Battista ,2020," 2,500,000 ",Autoshow (DLC: European Automotive Car Pack),LEGENDARY,S2 928,-
Autozam,AZ-1 ,1993," 25,000 ",Autoshow (DLC: JDM Jewels Car Pack),RARE,D 450,
BAC,Mono ,2014," 160,000 ","Wheelspin, ""Wanderer"" accolade",EPIC,S1 868,
Bentley,8 Litre ,1930," 1,500,000 ","Autoshow, Wheelspin",LEGENDARY,D 181,
Bentley,Blower 4-1/2 Litre Supercharged ,1931," 4,000,000 ","Autoshow, Wheelspin",LEGENDARY,D 207,0
Bentley,Turbo R ,1991," 250,000 ","""Hard to Find""",RARE,C 543,
Bentley,Bentayga ,2016," 180,000 ","Autoshow, Wheelspin",EPIC,A 727,
Bentley,Continental Supersports ,2017," 200,000 ","Autoshow, Wheelspin",EPIC,A 769,
Bentley,Continental GT Convertible ,2021," 300,000 ",Autoshow (DLC: European Automotive Car Pack),RARE,A 759,-
Bentley,Flying Spur ,2021," 350,000 ","""Hard to Find""",EPIC,A 719,
BMW,Isetta 300 Export ,1957," 45,000 ","Autoshow, Wheelspin",COMMON,D 100,
BMW,2002 Turbo ,1973," 26,000 ",Barn find,LEGENDARY,C 531,
BMW,M1 ,1981," 585,000 ","Autoshow, Wheelspin",EPIC,B 629,
BMW,M635CSi ,1986," 250,000 ","""Hard to Find""",COMMON,C 589,0
BMW,M5 ,1988," 54,000 ","Autoshow, Wheelspin",RARE,C 583,
BMW,M3 ,1991," 70,000 ","Autoshow, Wheelspin",RARE,C 583,
BMW,850CSi ,1995," 250,000 ","""Hard to Find""",RARE,B 610,0
BMW,M5 ,1995," 25,000 ","Autoshow, Wheelspin, ""'C' Class Elite"" accolade",RARE,B 634,
BMW,M3 ,1997," 35,000 ","Autoshow, Wheelspin",COMMON,B 665,
BMW,M3-GTR ,2002," 180,000 ","Autoshow, Wheelspin",EPIC,A 747,
BMW,Z3 M Coupe ,2002," 30,000 ","Autoshow, Wheelspin",COMMON,B 675,
BMW,M5 ,2003," 30,000 ","Autoshow, Wheelspin",COMMON,B 694,
BMW,M3 ,2005," 33,000 ","Autoshow, Wheelspin",COMMON,B 675,
BMW,M3 ,2008," 48,000 ","Autoshow, Wheelspin",COMMON,A 725,
BMW,Z4 M Coupe ,2008," 82,000 ","Autoshow, Wheelspin",COMMON,B 694,
BMW,M5 ,2009," 90,000 ","Autoshow, Wheelspin",RARE,A 719,
BMW,M3 GTS ,2010," 250,000 ","""Hard to Find""",EPIC,A 794,0
BMW,1 Series M Coupe ,2011," 55,000 ","Autoshow, Wheelspin",RARE,A 712,
BMW,X5 M ,2011," 100,000 ","Autoshow, Wheelspin",COMMON,B 666,
BMW,X5 M Forza Edition ,2011," 500,000 ",Gifted (DLC: VIP Membership),FORZA EDITION,S2 998,
BMW,M5 ,2012," 112,000 ","Autoshow, Wheelspin",RARE,A 766,
BMW,M6 Coupe ,2013," 120,000 ","Autoshow, Wheelspin",RARE,A 758,
BMW,M4 Coupé ,2014," 92,000 ","Autoshow, Wheelspin",RARE,A 782,
BMW,i8 ,2015," 140,000 ",Autoshow,RARE,A 764,
BMW,X6 M ,2015," 130,000 ",Wheelspin,EPIC,B 687,0
BMW,M2 Coupé ,2016," 69,000 ","Autoshow, Wheelspin",COMMON,A 718,
BMW,M4 GTS ,2016," 135,000 ",Car Collector: BMW,EPIC,S1 814,
BMW,#1 M Motorsport M8 GTE ,2018," 313,000 ",Autoshow (DLC: Apex Allstars Car Pack),RARE,S2 910,-
BMW,M5 ,2018," 105,000 ","Autoshow, Wheelspin",RARE,A 784,
BMW,Z4 ,2019," 35,000 ","Autoshow, Wheelspin",COMMON,A 751,
BMW,M8 Competition Coupe ,2020," 175,000 ",Autoshow (DLC: Car Pass),RARE,A 791,
BMW,M3 Competition Sedan ,2021," 250,000 ","""Hard to Find""",RARE,A 772,0
BMW,M4 Competition Coupé ,2021," 250,000 ","""Hard to Find""",RARE,A 778,0
BMW,i4 eDrive40 ,2022," 250,000 ","""Hard to Find""",RARE,B 633,0
BMW,iX xDrive50 ,2022," 250,000 ","""Hard to Find""",RARE,A 703,0
BMW,M5 CS ,2022," 250,000 ","""Hard to Find""",RARE,S1 827,0
BMW,M2 ,2023," 250,000 ","""Hard to Find""",RARE,A 762,
Brabham,BT62 ,2019," 1,500,000 ","HW Academy: ""Double Trouble"", Autoshow (DLC: Hot Wheels)",LEGENDARY,S2 974,0
Bugatti,Type 35 C ,1926," 1,300,000 ","Autoshow, Wheelspin",LEGENDARY,D 285,
Bugatti,EB110 Super Sport ,1992," 1,700,000 ","Autoshow, Wheelspin",LEGENDARY,S1 805,
Bugatti,Veyron Super Sport ,2011," 2,200,000 ","Autoshow, ""Like a Boss"" accolade",LEGENDARY,S2 913,
Bugatti,Chiron ,2018," 2,400,000 ","Autoshow, Wheelspin",LEGENDARY,S2 927,0
Bugatti,Divo ,2019," 3,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 958,
Buick,GSX ,1970," 80,000 ","Autoshow, Wheelspin",RARE,C 558,
Buick,Regal GNX ,1987," 130,000 ","Autoshow, Wheelspin",RARE,C 564,
Cadillac,XTS Limousine ,2013," 250,000 ","""Hard to Find""",RARE,D 492,
Cadillac,CTS-V Sport Wagon ,2014," 250,000 ","""Hard to Find""",RARE,A 724,0
Cadillac,#3 Cadillac Racing ATS-V.R ,2015," 308,000 ",Autoshow (DLC: Apex Allstars Car Pack),RARE,S1 890,-
Cadillac,ATS-V ,2016," 65,000 ","Autoshow, Wheelspin",COMMON,A 716,
Cadillac,CTS-V Sedan ,2016," 80,000 ","Autoshow, Wheelspin, ""Going the Extra Mile"" accolade",COMMON,A 761,
Cadillac,CT4-V Blackwing ,2022," 250,000 ","""Hard to Find""",RARE,A 760,
Cadillac,CT5-V Blackwing ,2022," 250,000 ","""Hard to Find""",RARE,A 799,1
Can-Am,Maverick X RS Turbo R ,2018," 25,000 ","Autoshow, Wheelspin",COMMON,B 607,
Casey Currie Motorsports,#4402 Ultra 4 'Trophy Jeep' ,2019," 500,000 ","Horizon Raptors: Win ""Forest Trail"", Autoshow (DLC: Rally Adventure)",EPIC,A 745,
Caterham,Superlight R500 ,2013," 82,000 ","Autoshow, Wheelspin",RARE,A 786,
Chevrolet,Corvette ,1953," 210,000 ",Barn find,LEGENDARY,D 366,
Chevrolet,Corvette Forza Edition ,1953," 500,000 ",Wheelspin,FORZA EDITION,A 800,
Chevrolet,150 Utility Sedan ,1955," 35,000 ","Autoshow, Wheelspin",COMMON,D 360,
Chevrolet,"""Barbie Movie"" Corvette EV ",1956," 250,000 ",Autoshow,EPIC,B 658,
Chevrolet,Bel Air ,1957," 130,000 ","Autoshow, Wheelspin",RARE,D 432,
Chevrolet,Corvette ,1960," 210,000 ",Car Collector: Chevrolet,EPIC,C 541,
Chevrolet,Impala Super Sport 409 ,1964," 46,000 ","Autoshow, Wheelspin",COMMON,C 544,
Chevrolet,Nova Super Sport ,1966," 250,000 ","""Hard to Find""",COMMON,C 554,0
Chevrolet,Corvette Stingray 427 ,1967," 150,000 ","Autoshow, Wheelspin",EPIC,B 623,
Chevrolet,Camaro Jordan Luka 3 Motorsport Edition ,1969," 1,000,000 ",Gifted (Promotional: Jordan Luka 3),FORZA EDITION,A 800,
Chevrolet,Camaro Super Sport Coupe ,1969," 110,000 ","Autoshow, Wheelspin",RARE,C 585,
Chevrolet,Nova Super Sport 396 ,1969," 47,000 ","Autoshow, Wheelspin, ""Getting Sidetracked"" accolade",COMMON,C 545,
Chevrolet,Camaro Z28 ,1970," 53,000 ","Autoshow, Wheelspin",RARE,C 539,
Chevrolet,Chevelle Super Sport 454 ,1970," 80,000 ","Autoshow, Wheelspin",RARE,C 531,
Chevrolet,Corvette ZR-1 ,1970," 310,000 ",Wheelspin,EPIC,B 610,
Chevrolet,El Camino Super Sport 454 ,1970," 65,000 ","Autoshow, ""Sidney Wolverstone, I presume"" accolade",RARE,C 544,
Chevrolet,K-10 Custom ,1972," 250,000 ","""Hard to Find""",COMMON,D 369,0
Chevrolet,Camaro Z28 ,1979," 35,000 ","Autoshow, Wheelspin",RARE,D 466,
Chevrolet,Monte Carlo Super Sport ,1988," 25,000 ","Autoshow, Wheelspin",COMMON,D 396,
Chevrolet,Corvette ZR-1 ,1995," 45,000 ","Autoshow, Wheelspin",COMMON,B 693,
Chevrolet,Impala Super Sport ,1996," 20,000 ","Autoshow, Wheelspin",COMMON,C 509,
Chevrolet,Corvette Z06 ,2002," 35,000 ","Autoshow, Wheelspin",COMMON,A 722,
Chevrolet,Corvette ZR1 ,2009," 125,000 ","Autoshow, Wheelspin",RARE,S1 809,
Chevrolet,Summit Racing Pro Stock Camaro ,2013," 300,000 ","""Hard to Find""",LEGENDARY,S2 919,
Chevrolet,Camaro Z/28 ,2015," 86,000 ","Autoshow, Wheelspin",RARE,A 797,
Chevrolet,Corvette Z06 ,2015," 110,000 ","Autoshow, Wheelspin",RARE,S1 852,
Chevrolet,Camaro ZL1 ,2017," 60,000 ","Autoshow, Wheelspin",RARE,S1 821,
Chevrolet,Colorado ZR2 ,2017," 46,000 ","Autoshow, Wheelspin",COMMON,C 530,
Chevrolet,Camaro ZL1 1LE ,2018," 105,000 ","Autoshow, Wheelspin",RARE,S1 824,
Chevrolet,Hot Wheels COPO Camaro ,2018," 205,000 ","HW Academy: ""Outside, Inside"", Autoshow (DLC: Hot Wheels)",RARE,S1 867,
Chevrolet,Corvette ZR1 ,2019," 255,000 ","""Millionaire"" accolade",EPIC,S1 871,
Chevrolet,#3 Corvette Racing C8.R ,2020," 650,000 ",Autoshow (DLC: Apex Allstars Car Pack),EPIC,S2 910,-
Chevrolet,Corvette Stingray Coupé ,2020," 65,000 ",Autoshow,RARE,S1 806,
Chevrolet,Silverado LT Trail Boss ,2020," 75,000 ",Autoshow (DLC: American Automotive Car Pack),RARE,C 561,-
Chevrolet,Corvette Z06 ,2023," 250,000 ","""Hard to Find""",EPIC,S1 855,0
Chevrolet,Corvette E-Ray ,2024," 181,000 ",Autoshow,EPIC,S1 834,
Citroën,BX 4TC ,1986," 250,000 ","""Hard to Find""",EPIC,C 567,0
CUPRA,Formentor VZ5 ,2021," 70,000 ","Autoshow, Gifted (Promotional: ""Explore the Horizon"")",EPIC,A 740,
CUPRA,Tavascan Concept ,2022," 50,000 ","Autoshow, Gifted (Promotional: ""Explore the Horizon"")",EPIC,B 677,
CUPRA,UrbanRebel Concept ,2022," 2,000,000 ",Autoshow,RARE,S1 854,
Czinger,21C ,2024," 2,000,000 ",Autoshow (DLC: American Automotive Car Pack),EPIC,S2 998,-
Datsun,510,1970," 25,000 ","Autoshow, Wheelspin",COMMON,D 264,
DeBerti,Ford Econoline 'Shop Rod' ,1961," 200,000 ",Autoshow (DLC: American Automotive Car Pack),RARE,A 799,-
DeBerti,Chevrolet C10 'Slayer' ,1965," 250,000 ","""Hard to Find""",RARE,S1 802,0
DeBerti,Wrangler Unlimited ,2013," 200,000 ",Car Mastery: 2012 Jeep Wrangler Rubicon,EPIC,A 749,
DeBerti,Chevrolet Silverado 1500 Drift Truck ,2018," 300,000 ","Autoshow, Wheelspin",EPIC,A 798,
DeBerti,F-150 Prerunner ,2018," 250,000 ","Autoshow, Wheelspin, ""Extreme Activity"" accolade",EPIC,B 691,
DeBerti,Ford Mustang GT ,2018," 500,000 ","""Hard to Find""",EPIC,S1 824,0
DeBerti,Ford Super Duty F-250 Lariat 'Transformer' ,2019," 250,000 ","""Hard to Find""",EPIC,B 665,0
DeBerti,"Toyota Tacoma TRD ""The Performance Truck"" ",2019," 500,000 ",Autoshow,COMMON,S1 836,
DeLorean,DMC-12 ,1982," 15,000 ","""Hard to Find""",LEGENDARY,D 464,
Dodge,Dart HEMI Super Stock ,1968," 300,000 ",Barn find,LEGENDARY,B 650,
Dodge,Charger Daytona HEMI ,1969," 900,000 ",Car Mastery: 1969 Dodge Charger R/T,EPIC,C 595,
Dodge,Charger R/T ,1969," 103,000 ","Autoshow, Wheelspin, ""Long Gone"" accolade",RARE,C 548,
Dodge,Charger R/T Forza Edition ,1969," 70,000 ",Gifted (DLC: VIP Membership),FORZA EDITION,S1 900,
Dodge,Challenger R/T ,1970," 210,000 ","Autoshow, Wheelspin",EPIC,C 551,
Dodge,Coronet Super Bee ,1970," 250,000 ","""Hard to Find""",RARE,C 566,
Dodge,Viper GTS ACR ,1999," 75,000 ",Barn find,LEGENDARY,A 717,
Dodge,Magnum SRT-8 ,2008," 35,000 ",Autoshow (DLC: Car Pass),RARE,B 669,
Dodge,Viper SRT10 ACR ,2008," 90,000 ","Autoshow, Wheelspin",RARE,S1 844,
Dodge,SRT Viper GTS ,2013," 95,000 ","Autoshow, Wheelspin",RARE,S1 813,
Dodge,SRT Viper GTS Anniversary Edition ,2013," 250,000 ","Horizon Story: Complete ""Horizon Origins""",ANNIVERSARY,S1 900,
Dodge,Challenger SRT Hellcat ,2015," 75,000 ","Autoshow, Wheelspin",RARE,A 755,
Dodge,Charger SRT Hellcat ,2015," 80,000 ","Autoshow, Wheelspin",RARE,A 762,
Dodge,Viper ACR ,2016," 150,000 ","Autoshow, ""Pedal to the Level"" accolade",EPIC,S1 873,
Dodge,Challenger SRT Demon ,2018," 150,000 ","Autoshow, Wheelspin",RARE,A 786,
Dodge,Durango SRT ,2018," 70,000 ","Autoshow, Wheelspin",COMMON,B 666,
Dodge,Durango SRT Hellcat ,2021," 250,000 ","""Hard to Find""",RARE,A 744,
Dodge,Challenger SRT Super Stock ,2022," 250,000 ","""Hard to Find""",RARE,S1 802,0
Donkervoort,D8 GTO ,2013," 250,000 ","""Hard to Find""",LEGENDARY,S1 814,0
DS,23,1975," 250,000 ","""Hard to Find""",COMMON,D 330,
Eagle,Speedster ,2012," 550,000 ","""Hard to Find""",LEGENDARY,A 723,
Elemental,RP1 ,2019," 150,000 ",Autoshow (DLC: Super Speed Car Pack),RARE,S1 867,-
Exomotive,Exocet Off-Road ,2018," 50,000 ","Autoshow, Wheelspin",RARE,B 682,
Exomotive,Exocet Off-Road Forza Edition ,2018," 500,000 ",Wheelspin,FORZA EDITION,A 800,
Extreme E,#125 ABT Cupra XE ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#22 JBXE ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#23 Genesys Andretti United ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#42 XITE Racing Team ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#44 X44 ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#5 Veloce Racing ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#55 ACCIONA | Sainz XE Team ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#58 McLaren Racing ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#6 Rosberg X Racing ,2022," 700,000 ","""Hard to Find""",RARE,A 748,0
Extreme E,#99 Chip Ganassi Racing GMC Hummer EV ,2022," 700,000 ",Autoshow,RARE,A 748,0
Fast and Furious,Chevrolet Impala Super Sport 'Fast X' ,1966," 300,000 ",Autoshow (DLC: Fast X Car Pack),LEGENDARY,S1 836,-
Fast and Furious,Dodge Charger 'Fast X' ,1970," 300,000 ",Autoshow (DLC: Fast X Car Pack),LEGENDARY,S1 855,-
Fast and Furious,Datsun 240Z 'Fast X' ,1973," 300,000 ",Autoshow (DLC: Fast X Car Pack),LEGENDARY,S1 838,-
Fast and Furious,Dodge Charger SRT Hellcat Redeye Widebody 'Fast X' ,2022," 120,000 ",Autoshow (DLC: Fast X Car Pack),LEGENDARY,S1 831,-
Fast and Furious,Flip Car 2.0 'Fast X' ,2022," 300,000 ",Autoshow (DLC: Fast X Car Pack),LEGENDARY,S1 815,-
Ferrari,250 California ,1957," 18,500,000 ","Autoshow, Wheelspin",LEGENDARY,C 564,
Ferrari,250 Testa Rossa ,1957," 16,400,000 ","Autoshow, Wheelspin",LEGENDARY,B 691,
Ferrari,250 GT Berlinetta Lusso ,1962," 2,600,000 ",Autoshow,LEGENDARY,C 590,0
Ferrari,250 GTO ,1962," 50,000,000 ",Barn find,LEGENDARY,B 612,
Ferrari,#24 Ferrari Spa 330 P4 ,1967," 9,000,000 ","Autoshow, Wheelspin",LEGENDARY,A 780,
Ferrari,365 GTB/4 ,1968," 600,000 ","Autoshow, Wheelspin",EPIC,B 637,
Ferrari,Dino 246 GT ,1969," 425,000 ",Wheelspin,EPIC,C 535,
Ferrari,512 S ,1970," 3,500,000 ",Autoshow,LEGENDARY,S1 861,
Ferrari,288 GTO ,1984," 3,500,000 ","Autoshow, Wheelspin",LEGENDARY,A 750,
Ferrari,F40 ,1987," 1,200,000 ","Autoshow, Wheelspin",LEGENDARY,A 784,0
Ferrari,F40 Competizione ,1989," 2,000,000 ",Barn find,LEGENDARY,S2 947,
Ferrari,512 TR ,1992," 270,000 ","""Hard to Find""",EPIC,A 733,0
Ferrari,F355 Berlinetta ,1994," 190,000 ","Autoshow, Wheelspin",EPIC,A 717,
Ferrari,F50 ,1995," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,A 789,0
Ferrari,F50 GT ,1996," 2,000,000 ","Autoshow, Wheelspin",LEGENDARY,S2 976,0
Ferrari,575M Maranello ,2002," 250,000 ","""Hard to Find""",EPIC,A 747,0
Ferrari,Enzo Ferrari ,2002," 2,800,000 ","Autoshow, Wheelspin",LEGENDARY,S1 857,
Ferrari,360 Challenge Stradale ,2003," 200,000 ","Wheelspin, ""Wheels of Experience"" accolade",EPIC,A 773,
Ferrari,FXX ,2005," 2,500,000 ","Autoshow, Wheelspin",LEGENDARY,S2 956,
Ferrari,430 Scuderia ,2007," 300,000 ","Autoshow, Wheelspin, ""'A' Class Elite"" accolade",EPIC,S1 810,
Ferrari,458 Italia ,2009," 225,000 ","Autoshow, Wheelspin",EPIC,S1 823,
Ferrari,599 GTO ,2010," 350,000 ","""Hard to Find""",EPIC,S1 828,0
Ferrari,599XX ,2010," 2,000,000 ",Autoshow,LEGENDARY,S2 924,
Ferrari,599XX Evolution ,2012," 2,600,000 ","Autoshow, Wheelspin",LEGENDARY,S2 952,0
Ferrari,458 Speciale ,2013," 340,000 ",Wheelspin,EPIC,S1 865,
Ferrari,LaFerrari ,2013," 1,500,000 ",Car Collector: Ferrari,LEGENDARY,S2 934,
Ferrari,California T ,2014," 250,000 ","""Hard to Find""",EPIC,A 784,0
Ferrari,FXX K ,2014," 2,700,000 ","Autoshow, Wheelspin",LEGENDARY,S2 979,0
Ferrari,488 GTB ,2015," 290,000 ","Autoshow, Wheelspin",EPIC,S1 863,
Ferrari,F12tdf ,2015," 500,000 ","Autoshow, Wheelspin",EPIC,S1 884,
Ferrari,#25 Corse Clienti 488 Challenge ,2017," 400,000 ",Autoshow (DLC: Car Pass),EPIC,S2 911,
Ferrari,812 Superfast ,2017," 350,000 ","Autoshow, Wheelspin",LEGENDARY,S1 878,
Ferrari,GTC4Lusso ,2017," 300,000 ","Wheelspin, ""Fastest Photographer in Mexico"" accolade",EPIC,S1 816,
Ferrari,J50 ,2017," 2,500,000 ",Autoshow (DLC: Car Pass),RARE,S1 857,
Ferrari,FXX-K Evo ,2018," 3,000,000 ",Autoshow (DLC: Car Pass),LEGENDARY,S2 998,
Ferrari,Portofino ,2018," 215,000 ","Autoshow, Wheelspin",EPIC,S1 814,
Ferrari,#62 Risi Competizione 488 GTE ,2019," 313,000 ",Autoshow (DLC: Apex Allstars Car Pack),RARE,S2 910,-
Ferrari,488 Pista ,2019," 320,000 ","Autoshow, Wheelspin",EPIC,S1 889,
Ferrari,F8 Tributo ,2019," 750,000 ","""Hard to Find""",LEGENDARY,S1 891,0
Ferrari,Monza SP2 ,2019," 2,000,000 ",Autoshow (DLC: Car Pass),LEGENDARY,S1 867,
Ferrari,Roma ,2020," 300,000 ",Autoshow (DLC: Italian Exotics Car Pack),EPIC,S1 830,-
Ferrari,SF90 Stradale ,2020," 750,000 ","""Hard to Find""",LEGENDARY,S2 915,0
Ferrari,296 GTB ,2022," 300,000 ",Autoshow (DLC: Italian Exotics Car Pack),EPIC,S1 892,-
FIAT,Dino 2.4 Coupe ,1969," 250,000 ","""Hard to Find""",RARE,D 498,0
FIAT,124 Sport Spider ,1980," 25,000 ",Autoshow,COMMON,D 288,
Ford,De Luxe Five-Window Coupe ,1932," 35,000 ","Autoshow, Wheelspin",COMMON,D 126,
Ford,De Luxe Five-Window Coupe Forza Edition ,1932," 294,000 ",Gifted (DLC: Forza Horizon 5 Limited Edition Xbox Controller),FORZA EDITION,A 800,-
