Brand,Vehicle,Year,Value,Collection,Rarity,PI,Owned
Aston Martin,V12 Vantage S ,2013,240000,Autoshow,EPIC,S1 814,
Aston Martin,Vantage GT12 ,2016,400000,Autoshow,EPIC,S1 846,
Aston Martin,Vulcan ,2016,1500000,Autoshow,LEGENDARY,S2 954,
Aston Martin,Vulcan Forza Edition ,2016,1750000,A possible Wheelspin reward,FORZA EDITION,S2 998,
Aston Martin,DB11 ,2017,300000,Autoshow,EPIC,S1 810,
Aston Martin,DB11 Preorder Car ,2017,300000,Gifted (Pre-Order bonus) / Forzathon Shop,EPIC,S1 900,
Aston Martin,Vanquish Zagato Coupé ,2017,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 824,
Aston Martin,Vulcan AMR Pro ,2017,1500000,"A ""Hard-to-Find"" vehicle",EPIC,S2 954,
Aston Martin,Vantage ,2018,400000,Autoshow (DLC: Car Pass),EPIC,S1 822,
Aston Martin,DBS Superleggera ,2019,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 853,
ATS,GT ,2018,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 894,
Audi,Sport quattro ,1983,175000,Complete its Barn Find rumor,LEGENDARY,B 621,
Audi,#2 Audi Sport quattro S1 ,1986,375000,Autoshow,LEGENDARY,S1 850,
Audi,RS 2 Avant ,1995,50000,Autoshow,COMMON,B 616,
Audi,RS 4 Avant ,2001,94000,Autoshow,RARE,B 695,
Audi,RS 6 ,2003,105000,Autoshow,RARE,A 710,
Audi,RS 4 ,2006,53000,Autoshow,RARE,A 729,
Audi,RS 6 ,2009,155000,Autoshow,RARE,A 743,
Audi,TT RS Coupé ,2010,66000,A possible Wheelspin reward,RARE,A 722,
Audi,RS 3 Sportback ,2011,42000,Autoshow,COMMON,B 699,
Audi,RS 5 Coupé ,2011,88000,Autoshow,RARE,A 750,
Audi,R8 Coupé V10 plus 5.2 FSI quattro ,2013,290000,Autoshow,EPIC,S1 824,
Audi,RS 4 Avant ,2013,83000,Autoshow,RARE,A 750,
Audi,RS 7 Sportback ,2013,225000,Autoshow,RARE,A 761,
Audi,RS 6 Avant ,2015,150000,Autoshow,RARE,A 778,
Audi,S1 ,2015,35000,Autoshow,COMMON,B 679,
Audi,TTS Coupé ,2015,52000,Autoshow,COMMON,A 740,
Audi,R8 V10 plus ,2016,242000,Autoshow,EPIC,S1 856,
Austin,Seven ,1924,250000,Reach Tier 5 in Horizon Life: Horizon Super7,LEGENDARY,D 100,
Austin,FX4 Taxi ,1964,20000,Reach Tier 10 in Horizon Life: Isha's Taxis,COMMON,D 100,
Austin-Healey,Sprite MkI ,1958,20000,Autoshow,COMMON,D 100,
Austin-Healey,3000 MkIII ,1965,50000,Autoshow,COMMON,D 326,
Auto Union,Type D ,1939,10000000,Autoshow,LEGENDARY,B 692,
BAC,Mono ,2014,160000,Autoshow,EPIC,S1 900,
Bentley,4-1/2 Liter Supercharged ,1931,10000000,Complete its Barn Find rumor,LEGENDARY,D 200,
Bentley,8-Liter ,1931,1500000,Reach Tier 10 in Horizon Life: British Racing Green,LEGENDARY,D 176,
Bentley,Turbo R ,1991,250000,"A ""Hard-to-Find"" vehicle",RARE,C 546,
Bentley,Continental GT Speed ,2013,242000,Autoshow,EPIC,A 774,
Bentley,Continental GT Speed Forza Edition ,2013,492000,A possible Wheelspin reward,FORZA EDITION,S1 900,
Bentley,Bentayga ,2016,180000,Autoshow,EPIC,A 758,
Bentley,Continental Supersports ,2017,200000,Autoshow,EPIC,A 798,
BMW,Isetta 300 Export ,1957,45000,Autoshow,RARE,D 100,
BMW,2002 Turbo ,1973,26000,Autoshow,COMMON,D 500,
BMW,M1 ,1981,585000,Autoshow,EPIC,B 652,
BMW,M5 ,1988,54000,Autoshow,RARE,C 594,
BMW,M5 Forza Edition ,1988,304000,A possible Wheelspin reward,FORZA EDITION,A 800,
BMW,M3 ,1991,70000,Autoshow,RARE,C 586,
BMW,850CSi ,1995,250000,"A ""Hard-to-Find"" vehicle",RARE,B 612,
BMW,M5 ,1995,25000,Autoshow,RARE,B 634,
BMW,M3 ,1997,35000,Autoshow,COMMON,B 694,
BMW,M3-GTR ,2002,120000,"A ""Hard-to-Find"" vehicle",EPIC,A 765,
BMW,Z3 M Coupe ,2002,30000,Autoshow,COMMON,A 713,
BMW,M5 ,2003,30000,Autoshow,COMMON,A 719,
BMW,M3 ,2005,33000,Reach Tier 8 in Horizon Life: The Drift Run,COMMON,A 706,
BMW,M3 ,2008,48000,Autoshow,RARE,A 745,
BMW,Z4 M Coupe ,2008,82000,Autoshow,RARE,A 710,
BMW,M5 ,2009,90000,Autoshow,RARE,A 758,
BMW,M3 GTS ,2010,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 814,
BMW,1 Series M Coupe ,2011,55000,Autoshow,RARE,A 731,
BMW,X5 M ,2011,100000,Autoshow,COMMON,A 708,
BMW,Z4 sDrive35is ,2011,58000,Autoshow,RARE,A 727,
BMW,M5 ,2012,112000,Autoshow,RARE,A 790,
BMW,M6 Coupe ,2013,120000,Autoshow,RARE,A 779,
BMW,M6 Coupe Forza Edition ,2013,370000,A possible Wheelspin reward,FORZA EDITION,S1 900,
BMW,M4 Coupé ,2014,92000,Autoshow,RARE,A 800,
BMW,i8 ,2015,140000,Autoshow,RARE,A 785,
BMW,X6 M ,2015,130000,Autoshow,RARE,A 727,
BMW,M2 Coupé ,2016,69000,Autoshow,COMMON,A 737,
BMW,M4 GTS ,2016,135000,Autoshow,EPIC,S1 841,
BMW,i8 Roadster ,2018,150000,Autoshow (DLC: Car Pass),RARE,A 776,
BMW,M5 ,2018,105000,Expansion: Fortune Island,RARE,S1 806,
BMW,Z4 Roadster ,2019,35000,"A ""Hard-to-Find"" vehicle",RARE,A 772,
Bowler,EXR S ,2012,200000,Autoshow,EPIC,A 760,
Bugatti,Type 35 C ,1926,10000000,Autoshow,LEGENDARY,D 374,
Bugatti,EB110 Super Sport ,1992,1700000,Autoshow,LEGENDARY,S1 829,
Bugatti,Veyron Super Sport ,2011,2200000,Autoshow,LEGENDARY,S2 922,
Bugatti,Chiron ,2018,2400000,Autoshow,LEGENDARY,S2 938,
Bugatti,Divo ,2019,250000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S2 958,
Buick,GSX ,1970,250000,"A ""Hard-to-Find"" vehicle",EPIC,C 572,
Buick,Regal GNX ,1987,130000,Autoshow,RARE,C 567,
Cadillac,Eldorado Biarritz Convertible ,1959,60000,Autoshow (DLC: Car Pass),RARE,D 400,
Cadillac,Escalade ESV ,2012,250000,"A ""Hard-to-Find"" vehicle",COMMON,C 564,
Cadillac,XTS Limousine ,2013,48500,A possible Wheelspin reward,RARE,C 534,
Cadillac,ATS-V ,2016,65000,Autoshow,COMMON,A 737,
Cadillac,CTS-V Sedan ,2016,80000,Autoshow,COMMON,A 785,
Can-Am,Maverick X RS Turbo R ,2018,25000,Autoshow (DLC: Car Pass),COMMON,B 692,
Caterham,Superlight R500 ,2013,82000,Autoshow,RARE,S1 804,
Caterham,Superlight R500 Forza Edition ,2013,332000,A possible Wheelspin reward,FORZA EDITION,S1 804,
Chevrolet,Corvette ,1953,135000,Autoshow,LEGENDARY,D 347,
Chevrolet,150 Utility Sedan ,1955,35000,Autoshow,COMMON,D 286,
Chevrolet,Bel Air ,1957,130000,Autoshow,RARE,D 444,
Chevrolet,Corvette ,1960,150000,Autoshow,EPIC,C 521,
Chevrolet,Impala Super Sport 409 ,1964,46000,Autoshow,COMMON,C 527,
Chevrolet,Nova Super Sport ,1966,70000,Autoshow,COMMON,C 582,
Chevrolet,Chevelle Super Sport 396 ,1967,250000,"A ""Hard-to-Find"" vehicle",RARE,C 561,
Chevrolet,Corvette Stingray 427 ,1967,150000,Autoshow,RARE,B 621,
Chevrolet,Camaro Super Sport Coupe ,1969,110000,Autoshow,RARE,C 566,
Chevrolet,Nova Super Sport 396 ,1969,47000,Autoshow,COMMON,C 552,
Chevrolet,Nova Super Sport 396 Forza Edition ,1969,297000,A possible Wheelspin reward,FORZA EDITION,S2 981,
Chevrolet,Camaro Z28 ,1970,53000,Autoshow,RARE,C 547,
Chevrolet,Chevelle Super Sport 454 ,1970,80000,Autoshow,RARE,C 542,
Chevrolet,Chevelle Super Sport Barrett-Jackson Edition ,1970,105000,Autoshow (DLC: Barrett-Jackson Car Pack),EPIC,A 757,
Chevrolet,Corvette ZR-1 ,1970,310000,Autoshow,RARE,B 605,
Chevrolet,El Camino Super Sport 454 ,1970,65000,Autoshow,RARE,C 556,
Chevrolet,Camaro Z28 ,1979,35000,A possible Wheelspin reward,RARE,D 460,
Chevrolet,Monte Carlo Super Sport ,1988,25000,Reach Tier 10 in Horizon Life: LaRacer,COMMON,D 415,
Chevrolet,Camaro IROC-Z ,1990,250000,"A ""Hard-to-Find"" vehicle",RARE,C 512,
Chevrolet,Corvette ZR-1 ,1995,45000,Autoshow,COMMON,A 741,
Chevrolet,Impala Super Sport ,1996,250000,"A ""Hard-to-Find"" vehicle",COMMON,C 510,
Chevrolet,Corvette Z06 ,2002,35000,Autoshow,COMMON,A 748,
Chevrolet,Corvette ZR1 ,2009,125000,Autoshow,RARE,S1 824,
Chevrolet,Camaro Z/28 ,2015,86000,Autoshow,RARE,S1 818,
Chevrolet,Corvette Z06 ,2015,110000,Autoshow,RARE,S1 871,
Chevrolet,Camaro ZL1 ,2017,60000,Autoshow,RARE,S1 848,
Chevrolet,Camaro ZL1 Preorder Car ,2017,60000,Gifted (Pre-Order bonus) / Forzathon Shop,RARE,S1 900,
Chevrolet,Colorado ZR2 ,2017,46000,"A ""Hard-to-Find"" vehicle",RARE,C 598,
Chevrolet,Camaro ZL1 1LE ,2018,105000,Autoshow (DLC: Car Pass),EPIC,S1 849,
Chevrolet,Silverado 1500 DeBerti Design Drift Truck ,2018,300000,Autoshow (DLC: Car Pass),EPIC,S1 849,
Chevrolet,Corvette ZR1 ,2019,225000,Autoshow (DLC: Car Pass),EPIC,S1 895,
Chevrolet,C8 Corvette Stingray ,2020,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 830,
Chrysler,VH Valiant Charger R/T E49 ,1972,60000,Autoshow,RARE,C 557,
Citroën,DS 23 ,1975,250000,"A ""Hard-to-Find"" vehicle",EPIC,D 262,
Datsun,510 ,1970,25000,Autoshow,COMMON,D 209,
Dodge,Dart HEMI Super Stock ,1968,125000,Autoshow,RARE,B 626,
Dodge,Charger Daytona HEMI ,1969,900000,Autoshow,LEGENDARY,C 595,
Dodge,Charger R/T ,1969,103000,Autoshow,RARE,C 558,
Dodge,Challenger R/T ,1970,210000,Autoshow,RARE,C 562,
Dodge,Viper GTS ACR ,1999,75000,Autoshow,RARE,A 732,
Dodge,Viper SRT10 ACR ,2008,90000,Autoshow,RARE,S1 866,
Dodge,SRT Viper GTS ,2013,95000,Autoshow,EPIC,S1 831,
Dodge,Challenger SRT Hellcat ,2015,75000,Autoshow,RARE,A 776,
Dodge,Charger SRT Hellcat ,2015,80000,Autoshow,RARE,A 785,
Dodge,Viper ACR ,2016,150000,Autoshow,EPIC,S1 893,
Dodge,Challenger SRT Demon ,2018,150000,Reach Tier 10 in Horizon Life: The Stunt Driver,EPIC,S1 823,
Dodge,Durango SRT ,2018,70000,Autoshow,RARE,A 709,
Donkervoort,D8 GTO ,2013,175000,Autoshow,EPIC,S1 827,
DS Automobiles,DS 3 Racing ,2011,38000,"A ""Hard-to-Find"" vehicle",COMMON,B 624,
Eagle,Speedster ,2012,550000,Autoshow,LEGENDARY,A 740,
Exomotive,Exocet Off-Road ,2018,50000,Expansion: Fortune Island,EPIC,A 729,
Ferrari,166MM Barchetta ,1948,6500000,Autoshow,LEGENDARY,C 554,
Ferrari,500 Mondial ,1953,1000000,Autoshow,LEGENDARY,C 544,
Ferrari,250 California ,1957,8000000,Autoshow,LEGENDARY,C 540,
Ferrari,250 Testa Rossa ,1957,10000000,Autoshow,LEGENDARY,A 704,
Ferrari,250 GT Berlinetta Lusso ,1962,2600000,Autoshow,LEGENDARY,C 568,
Ferrari,250 GTO ,1962,10000000,Autoshow,LEGENDARY,B 679,
Ferrari,250LM ,1963,10000000,Autoshow,LEGENDARY,A 732,
Ferrari,#24 Ferrari Spa 330 P4 ,1967,10000000,Autoshow,LEGENDARY,A 799,
Ferrari,365 GTB/4 ,1968,600000,Autoshow,EPIC,B 641,
Ferrari,Dino 246 GT ,1969,425000,Autoshow,EPIC,C 512,
Ferrari,512 S ,1970,250000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S1 872,
Ferrari,288 GTO ,1984,3100000,Autoshow,LEGENDARY,A 768,
Ferrari,F40 ,1987,1200000,Autoshow,LEGENDARY,S1 807,
Ferrari,F40 Competizione ,1989,3000000,Autoshow,LEGENDARY,S2 961,
Ferrari,512 TR ,1992,270000,Autoshow,EPIC,A 754,
Ferrari,F355 Berlinetta ,1994,190000,Autoshow,EPIC,A 737,
Ferrari,F50 ,1995,2000000,Autoshow,LEGENDARY,S1 815,
Ferrari,F50 GT ,1996,1200000,Autoshow,LEGENDARY,S2 992,
Ferrari,"F50 GT ""Welcome Pack"" ",1996,1200000,Autoshow (DLC: Welcome Pack,LEGENDARY,S2 998,
Ferrari,575M Maranello ,2002,140000,Autoshow,EPIC,A 772,
Ferrari,Enzo Ferrari ,2002,2800000,Autoshow,LEGENDARY,S1 874,
Ferrari,360 Challenge Stradale ,2003,200000,Autoshow,EPIC,A 792,
Ferrari,FXX ,2005,2500000,Autoshow (DLC: Car Pass),LEGENDARY,S2 961,
Ferrari,430 Scuderia ,2007,300000,Autoshow,EPIC,S1 834,
Ferrari,458 Italia ,2009,225000,Autoshow,EPIC,S1 846,
Ferrari,599 GTO ,2010,690000,Autoshow,EPIC,S1 861,
Ferrari,599XX ,2010,1000000,Autoshow,LEGENDARY,S2 937,
Ferrari,FF ,2011,255000,Autoshow,EPIC,S1 815,
Ferrari,599XX Evolution ,2012,250000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S2 979,
Ferrari,F12berlinetta ,2012,380000,Autoshow,EPIC,S1 868,
Ferrari,458 Speciale ,2013,340000,Autoshow,EPIC,S1 885,
Ferrari,LaFerrari ,2013,1500000,Autoshow,LEGENDARY,S2 966,
Ferrari,California T ,2014,240000,Autoshow,EPIC,S1 804,
Ferrari,FXX K ,2014,2700000,Autoshow,LEGENDARY,S2 989,
Ferrari,488 GTB ,2015,290000,Autoshow,EPIC,S1 883,
Ferrari,F12tdf ,2015,500000,Autoshow,EPIC,S2 901,
Ferrari,812 Superfast ,2017,1400000,Star Card: Story,LEGENDARY,S1 897,
Ferrari,GTC4Lusso ,2017,430000,Autoshow (DLC: Car Pass),EPIC,S1 840,
Ferrari,Portofino ,2018,215000,Autoshow,EPIC,S1 834,
Ferrari,488 Pista ,2019,250000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S2 912,
FIAT,Dino 2.4 Coupe ,1969,250000,"A ""Hard-to-Find"" vehicle",RARE,D 468,
FIAT,X1/9 ,1975,250000,"A ""Hard-to-Find"" vehicle",RARE,D 127,
FIAT,124 Sport Spider ,1980,25000,Autoshow,COMMON,D 244,
Ford,"Custom ""Double Down"" ",1932,105000,Autoshow (DLC: Barrett-Jackson Car Pack),EPIC,S2 927,
Ford,De Luxe Five-Window Coupe ,1932,35000,Autoshow,COMMON,D 100,
Ford,"Roadster ""Hula Girl"" ",1932,105000,Autoshow (DLC: Barrett-Jackson Car Pack),EPIC,C 590,
Ford,De Luxe Coupe ,1940,44000,Autoshow,COMMON,D 100,
Ford,Super Deluxe Station Wagon ,1946,75000,Autoshow,COMMON,D 100,
Ford,F-100 ,1956,36000,Autoshow,COMMON,D 221,
Ford,Anglia 105E ,1959,20000,Autoshow,COMMON,D 100,
Ford,GT40 Mk I ,1964,9000000,Complete its Barn Find rumor,LEGENDARY,A 772,
Ford,Mustang GT Coupe ,1965,46000,Autoshow,RARE,C 507,
Ford,Transit ,1965,25000,Autoshow (DLC: Car Pass),COMMON,D 100,
Ford,#2 GT40 Mk II Le Mans ,1966,10000000,Autoshow,LEGENDARY,A 795,
Ford,Lotus Cortina ,1966,50000,Autoshow,COMMON,D 379,
Ford,Mustang 2+2 Fastback ,1968,50000,Autoshow (DLC: Car Pass),RARE,C 505,
Ford,Mustang Boss 302 ,1969,230000,Reach Tier 10 in Horizon Life: Drift Club,LEGENDARY,C 564,
Ford,GT70 ,1970,250000,"A ""Hard-to-Find"" vehicle",LEGENDARY,B 694,
Ford,Mustang Mach 1 ,1971,45000,Autoshow,EPIC,C 561,
Ford,Falcon XA GT-HO ,1972,80000,Autoshow,RARE,B 608,
Ford,Falcon XA GT-HO Forza Edition ,1972,330000,A possible Wheelspin reward,FORZA EDITION,S1 811,
Ford,Capri RS3100 ,1973,55000,Autoshow,RARE,D 478,
Ford,Capri RS3100 Forza Edition ,1973,305000,Star Card: Complete all challenges,FORZA EDITION,B 613,
Ford,Escort RS1600 ,1973,73000,Autoshow,RARE,D 440,
Ford,XB Falcon GT ,1973,60000,A possible Wheelspin reward,RARE,C 529,
Ford,Bronco ,1975,38000,Autoshow,COMMON,D 379,
Ford,Bronco Barrett-Jackson Edition ,1975,105000,Autoshow (DLC: Barrett-Jackson Car Pack),EPIC,B 630,
Ford,#5 RS1800 MK II ,1977,250000,"A ""Hard-to-Find"" vehicle",EPIC,A 729,
Ford,Escort RS1800 ,1977,88000,Autoshow,RARE,D 311,
Ford,Fiesta XR2 ,1981,25000,Autoshow,COMMON,D 324,
Ford,RS200 Evolution ,1985,260000,Reach Tier 4 in Horizon Life: Dirt Racing,LEGENDARY,S1 839,
Ford,Escort RS Turbo ,1986,25000,Complete its Barn Find rumor,RARE,C 506,
Ford,Sierra Cosworth RS500 ,1987,66000,Autoshow,RARE,B 608,
Ford,Escort RS Cosworth ,1992,66000,Autoshow,RARE,C 566,
Ford,SVT Cobra R ,1993,28000,A possible Wheelspin reward,COMMON,C 533,
Ford,Supervan 3 ,1994,500000,"A ""Hard-to-Find"" vehicle",EPIC,S1 828,
Ford,Racing Puma ,1999,250000,"A ""Hard-to-Find"" vehicle",RARE,C 549,
Ford,SVT Cobra R ,2000,55000,Autoshow,COMMON,B 682,
Ford,Focus RS ,2003,30000,Autoshow,COMMON,B 649,
Ford,GT ,2005,300000,Autoshow,EPIC,S1 810,
Ford,Focus RS ,2009,25000,Autoshow,COMMON,B 696,
Ford,Crown Victoria Police Interceptor ,2010,25000,A possible Wheelspin reward,COMMON,C 521,
Ford,F-150 SVT Raptor ,2011,42000,A possible Wheelspin reward,RARE,C 564,
Ford,Transit SuperSportVan ,2011,50000,Autoshow,RARE,D 416,
Ford,Transit SuperSportVan Forza Edition ,2011,50000,Gifted (DLC: VIP Membership),FORZA EDITION,B 695,
Ford,Shelby GT500 ,2013,115000,Autoshow,EPIC,A 774,
Ford,#11 Rockstar F-150 Trophy Truck ,2014,500000,Autoshow,EPIC,A 785,
Ford,Fiesta ST ,2014,25000,Autoshow,COMMON,B 621,
Ford,FPV Limited Edition Pursuit Ute ,2014,50000,Autoshow,RARE,A 710,
Ford,Ranger T6 Rally Raid ,2014,500000,Autoshow,EPIC,A 703,
Ford,Falcon GT F 351 ,2015,60000,Autoshow,RARE,A 739,
Ford,Shelby GT350R ,2016,75000,Autoshow,EPIC,S1 840,
Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta ,2017,500000,Autoshow,EPIC,S1 880,
Ford,F-150 Raptor ,2017,63000,Autoshow,COMMON,B 627,
Ford,Focus RS ,2017,59000,Autoshow,RARE,A 718,
Ford,Focus RS Preorder Car ,2017,59000,Gifted (Pre-Order bonus) / Forzathon Shop,RARE,A 800,
Ford,GT ,2017,400000,Autoshow,EPIC,S1 900,
Ford,"GT ""Welcome Pack"" ",2017,400000,Autoshow (DLC: Welcome Pack,LEGENDARY,S2 998,
Ford,M-Sport Fiesta RS ,2017,500000,Autoshow,EPIC,S1 819,
Ford,#25 RTR Mustang ,2018,500000,Reach Tier 19 in Horizon Life: Drift Adventure,EPIC,S1 871,
Ford,#25 RTR Mustang ,2018,500000,"A ""Hard-to-Find"" vehicle",EPIC,S1 871,
Ford,F-150 Prerunner DeBerti Design Truck ,2018,250000,Reach Tier 15 in Horizon Life: The Eliminator,EPIC,A 750,
Ford,Mustang GT ,2018,40000,Autoshow,RARE,A 778,
Ford,Mustang GT DeBerti Design ,2018,500000,Autoshow (DLC: Car Pass),EPIC,S1 835,
Ford,Mustang RTR Spec 5 ,2018,500000,"A ""Hard-to-Find"" vehicle",EPIC,A 780,
Ford,Ranger Raptor ,2019,58000,Autoshow,COMMON,D 498,
Ford,Mustang Shelby GT500 ,2020,250000,"A ""Hard-to-Find"" vehicle",EPIC,S1 863,
Formula Drift,#98 BMW 325i ,1989,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 837,
Formula Drift,#118 Nissan 240SX ,1995,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 860,
Formula Drift,#232 Nissan 240SX ,1996,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 859,
Formula Drift,#777 Nissan 240SX ,1997,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 861,
Formula Drift,#43 Dodge Viper SRT10 ,2006,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 859,
Formula Drift,#117 599 GTB Fiorano ,2007,500000,"A ""Hard-to-Find"" vehicle",EPIC,S1 896,
Formula Drift,#777 Chevrolet Corvette ,2013,500000,"A ""Hard-to-Find"" vehicle",EPIC,S1 885,
Formula Drift,#13 Ford Mustang ,2015,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 852,
Formula Drift,#530 HSV Maloo Gen-F ,2016,300000,Autoshow (DLC: Formula Drift Car Pack),EPIC,S1 836,
Formula Drift,#64 Nissan 370Z ,2018,500000,"A ""Hard-to-Find"" vehicle",EPIC,S1 884,
Funco Motorsports,F9 ,2018,500000,Expansion: Fortune Island,EPIC,S1 860,
GMC,Vandura G-1500 ,1983,25000,Autoshow,COMMON,D 151,
GMC,Syclone ,1991,250000,"A ""Hard-to-Find"" vehicle",EPIC,C 545,
GMC,Typhoon ,1992,250000,"A ""Hard-to-Find"" vehicle",EPIC,C 510,
HDT,VK Commodore Group A ,1985,28000,Autoshow,RARE,C 545,
Hennessey,Venom GT ,2012,1200000,Autoshow,LEGENDARY,S2 930,
Hennessey,VelociRaptor 6x6 ,2019,350000,"A ""Hard-to-Find"" vehicle",LEGENDARY,A 705,
Hillman,Imp ,1966,25000,Autoshow (DLC: Car Pass),COMMON,D 100,
Holden,HQ Monaro GTS 350 ,1973,75000,Autoshow,COMMON,C 524,
Holden,Sandman HQ Panel Van ,1974,55000,Autoshow,COMMON,D 500,
Holden,Torana A9X ,1977,130000,Autoshow,RARE,C 507,
Holden,VL Commodore Group A SV ,1988,250000,"A ""Hard-to-Find"" vehicle",RARE,C 578,
Honda,S800 ,1970,250000,"A ""Hard-to-Find"" vehicle",RARE,D 193,
Honda,Civic RS ,1974,25000,Autoshow (DLC: Car Pass),COMMON,D 320,
Honda,Civic CRX Mugen ,1984,40000,"A ""Hard-to-Find"" vehicle",COMMON,D 492,
Honda,CR-X SiR ,1991,20000,Autoshow,COMMON,C 504,
Honda,NSX-R ,1992,90000,Autoshow,EPIC,A 707,
Honda,Prelude Si ,1994,250000,"A ""Hard-to-Find"" vehicle",COMMON,D 500,
Honda,Civic Type R ,1997,25000,Autoshow,COMMON,C 551,
Honda,S2000 ,2003,25000,Autoshow (DLC: Car Pass),COMMON,B 618,
Honda,Civic Type-R ,2004,25000,A possible Wheelspin reward,COMMON,B 610,
Honda,NSX-R ,2005,150000,A possible Wheelspin reward,EPIC,A 714,
Honda,NSX-R GT ,2005,500000,Autoshow (DLC: Car Pass),EPIC,A 744,
Honda,Civic Type-R ,2007,20000,Autoshow,COMMON,C 576,
Honda,S2000 CR ,2009,25000,Autoshow,COMMON,B 647,
Honda,Civic Type R ,2015,38000,Autoshow,COMMON,A 714,
Honda,Ridgeline Baja Trophy Truck ,2015,500000,Autoshow,EPIC,A 751,
Honda,Civic Coupe GRC ,2016,155000,Autoshow (DLC: Car Pass),EPIC,S1 878,
Honda,Civic Type R ,2018,59000,"A ""Hard-to-Find"" vehicle",RARE,A 745,
Hoonigan,Chevrolet Bel Air ,1955,76000,Autoshow,EPIC,C 571,
Hoonigan,"Ford ""Hoonicorn"" Mustang ",1965,500000,Autoshow,LEGENDARY,S2 985,
Hoonigan,Gymkhana 10 Ford Hoonicorn Mustang ,1965,500000,"A ""Hard-to-Find"" vehicle",LEGENDARY,S2 985,
Hoonigan,"Chevrolet ""Napalm Nova"" ",1972,50000,A possible Wheelspin reward,EPIC,A 765,
