Brand,Vehicle,Year,Value,Collection,Rarity,PI
BMW,M2 Forza Edition ,2023,500000,"Earn 5,000 points in the ""Horizon Legend"" category in the Collection Journal",FORZA EDITION,A 700
BMW,X6 M Competition ,2024,140000,"Autoshow, Wheelspin",EPIC,A 672
Buick,Regal GNX ,1987,255000,Autoshow,EPIC,C 454
Cadillac,XTS Limousine ,2013,44000,"Autoshow, Wheelspin",RARE,D 381
Cadillac,ATS-V ,2016,41000,"Autoshow, Wheelspin",COMMON,A 601
Cadillac,CTS-V Sedan ,2016,60000,"Autoshow, Wheelspin",COMMON,A 648
Cadillac,CT4-V Blackwing ,2022,55000,"Autoshow, Wheelspin",RARE,A 650
Cadillac,CT5-V Blackwing ,2022,90000,"Autoshow, Wheelspin",RARE,S1 701
Can-Am,Maverick X RS Turbo R ,2018,16000,"Autoshow, Wheelspin",COMMON,B 568
Casey Currie Motorsports,#4402 Ultra 4 'Trophy Jeep' ,2019,250000,Wheelspin,EPIC,A 641
Chevrolet,Corvette ,1953,269000,"Autoshow, Wheelspin",LEGENDARY,D 270
Chevrolet,150 Utility Sedan ,1955,140000,"Autoshow, Wheelspin",COMMON,D 221
Chevrolet,Bel Air ,1957,69000,"Autoshow, Wheelspin",RARE,D 320
Chevrolet,Corvette ,1960,250000,Wheelspin,EPIC,C 428
Chevrolet,Impala Super Sport 409 ,1964,70000,"Autoshow, Wheelspin",COMMON,C 427
Chevrolet,Corvette Stingray 427 ,1967,135000,Car Mastery: Chevrolet Corvette Stingray Coupe,EPIC,B 510
Chevrolet,Camaro Super Sport Coupe ,1969,75000,"Autoshow, Wheelspin",RARE,C 471
Chevrolet,Nova Super Sport 396 ,1969,40000,"Autoshow, Wheelspin",COMMON,C 431
Chevrolet,Camaro Z28 ,1970,55000,"Autoshow, Wheelspin",RARE,C 430
Chevrolet,Chevelle Super Sport 454 ,1970,90000,"Autoshow, Wheelspin",RARE,C 424
Chevrolet,Corvette ZR-1 ,1970,250000,"Autoshow, Wheelspin",EPIC,C 497
Chevrolet,El Camino Super Sport 454 ,1970,36000,"Autoshow, Wheelspin",RARE,C 430
Chevrolet,K-10 Custom ,1972,49000,"Autoshow, Wheelspin",COMMON,D 268
Chevrolet,Camaro Z28 ,1979,20000,"Autoshow, Wheelspin",RARE,D 364
Chevrolet,Monte Carlo Super Sport ,1988,30000,"Autoshow, Wheelspin",COMMON,D 282
Chevrolet,Corvette ZR-1 ,1995,76000,"Autoshow, Wheelspin",COMMON,B 576
Chevrolet,Impala Super Sport ,1996,30000,"Autoshow, Wheelspin",COMMON,C 407
Chevrolet,Corvette Z06 ,2002,33000,"Autoshow, Wheelspin",COMMON,A 602
Chevrolet,Corvette ZR1 ,2009,125000,"Autoshow, Wheelspin",RARE,S1 712
Chevrolet,Camaro Z/28 ,2015,65000,"Autoshow, Wheelspin",RARE,A 695
Chevrolet,Corvette Z06 ,2015,100000,"Autoshow, Wheelspin",RARE,S1 755
Chevrolet,Camaro ZL1 ,2017,55000,"Autoshow, Wheelspin",RARE,S1 727
Chevrolet,Camaro ZL1 1LE ,2018,70000,"Autoshow, Wheelspin",RARE,S1 728
Chevrolet,Corvette ZR1 ,2019,250000,Wheelspin,EPIC,S1 778
Chevrolet,Corvette Stingray Coupe ,2020,65000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 699
Chevrolet,Silverado LT Trail Boss ,2020,43000,"Autoshow, Wheelspin",RARE,C 449
Chevrolet,Corvette Z06 ,2023,155000,"Autoshow, Wheelspin",EPIC,S1 763
Chevrolet,Camaro ZL1 ,2024,250000,"""Hard to Find""",RARE,S1 718
Chevrolet,Corvette E-Ray ,2024,114000,"Autoshow, Wheelspin, Loyalty Reward",EPIC,S1 737
Datsun,2000 Roadster ,1969,250000,"""Hard to Find""",COMMON,D 323
Datsun,510 ,1970,86000,"Autoshow, Wheelspin",COMMON,D 143
Datsun,#269 Attacking the Clock Racing 240Z 'All Carbon Hill Climb Beast' ,1972,185000,Autoshow (DLC: Car Pass),EPIC,R 951
De Tomaso,Pantera GT5 ,1984,250000,"""Hard to Find""",LEGENDARY,B 562
DeBerti,Chevrolet Silverado 1500 Drift Truck ,2018,250000,"Autoshow, Wheelspin",EPIC,S1 707
DeBerti,Jeep Wrangler Unlimited ,2018,150000,"Autoshow, Wheelspin",EPIC,A 645
DeBerti,Ford Super Duty F-250 Lariat 'Transformer' ,2019,275000,"Autoshow, Wheelspin",EPIC,B 548
DeBerti,Toyota Tacoma TRD 'The Performance Truck' ,2019,250000,"Autoshow, Wheelspin",COMMON,S1 717
DeLorean,DMC-12 ,1982,72000,"Autoshow, Wheelspin",LEGENDARY,D 357
Dodge,Dart HEMI Super Stock ,1968,300000,Wheelspin,LEGENDARY,B 540
Dodge,Charger Daytona HEMI ,1969,541000,"Autoshow, Wheelspin, Earn 1,500 points in the ""Car Collection"" category in the Collection Journal",EPIC,C 479
Dodge,Charger R/T ,1969,224000,Treasure Car: Central Minamino,TREASURE CAR,C 417
Dodge,Challenger R/T ,1970,525000,Wheelspin,EPIC,C 443
Dodge,Coronet Super Bee ,1970,175000,"Autoshow, Wheelspin",RARE,C 455
Dodge,Viper GTS ACR ,1999,68000,Autoshow,LEGENDARY,B 598
Dodge,Viper GTS ACR Forza Edition ,1999,500000,Gifted (DLC: VIP Membership),FORZA EDITION,A 700
Dodge,Ram SRT-10 ,2006,250000,"""Hard to Find""",COMMON,B 547
Dodge,Viper SRT-10 ACR ,2008,115000,"Autoshow, Wheelspin",RARE,S1 735
Dodge,Challenger SRT Hellcat ,2015,53000,"Autoshow, Wheelspin",RARE,A 631
Dodge,Charger SRT Hellcat ,2015,44000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 637
Dodge,Viper ACR ,2016,290000,Wheelspin,EPIC,S1 786
Dodge,Challenger SRT Demon ,2018,90000,"Autoshow, Wheelspin, Aftermarket Car, Earn 250 points in ""Horizon Promo"" category in the Collection Journal",RARE,A 678
Dodge,Durango SRT Hellcat ,2021,73000,"Earn 1,400 points in the ""Day Trips"" category in the Collection Journal",EPIC,A 628
Dodge,Challenger SRT Super Stock ,2022,87000,"Autoshow, Wheelspin",RARE,A 695
Exomotive,Exocet Sport V8 XP-5 ,2018,309000,"""Hard to Find""",RARE,S2 841
Ferrari,250 GT Berlinetta Lusso ,1962,1400000,"Autoshow, Earn 2,000 points in the ""Horizon Promo"" category in the Collection Journal",LEGENDARY,C 475
Ferrari,250 GTO ,1962,48000000,"Autoshow, Wheelspin",LEGENDARY,C 494
Ferrari,#24 Ferrari Spa 330 P4 ,1967,70000000,"Autoshow, Wheelspin",LEGENDARY,A 684
Ferrari,275 GTB4 Spider ,1967,1000000,Autoshow (DLC: Italian Passion Car Pack),EPIC,B 579
Ferrari,Dino 246 GT ,1969,390000,"Autoshow, Wheelspin",EPIC,C 428
Ferrari,512 S ,1970,3600000,"Autoshow, Wheelspin",LEGENDARY,S1 774
Ferrari,288 GTO ,1984,2800000,Wheelspin,LEGENDARY,A 643
Ferrari,F40 ,1987,2000000,"Autoshow, Earn 2,000 points in the ""Garages"" category in the Collection Journal",LEGENDARY,A 678
Ferrari,F40 Competizione ,1989,3200000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,R 948
Ferrari,512 TR ,1992,350000,Wheelspin,EPIC,A 615
Ferrari,F355 Berlinetta ,1994,250000,Wheelspin,EPIC,B 588
Ferrari,F50 ,1995,4500000,"Autoshow, Wheelspin",LEGENDARY,A 678
Ferrari,F50 GT ,1996,5500000,Car Mastery: Ferrari F50,LEGENDARY,R 948
Ferrari,Enzo Ferrari ,2002,3500000,Autoshow,LEGENDARY,S1 755
Ferrari,FXX ,2005,2500000,"Autoshow, Wheelspin",LEGENDARY,S2 900
Ferrari,430 Scuderia ,2007,355000,"Autoshow, Wheelspin",EPIC,S1 702
Ferrari,458 Italia ,2009,210000,"Autoshow, Wheelspin",EPIC,S1 721
Ferrari,599XX ,2010,2000000,"Autoshow, Wheelspin",LEGENDARY,S2 840
Ferrari,599XX Evolution ,2012,3200000,Wheelspin,LEGENDARY,S2 894
Ferrari,458 Speciale ,2013,500000,"Autoshow, Wheelspin",EPIC,S1 768
Ferrari,LaFerrari ,2013,3000000,"Autoshow, Wheelspin",LEGENDARY,S2 857
Ferrari,FXX K ,2014,4300000,"Autoshow, Wheelspin",LEGENDARY,R 936
Ferrari,488 GTB ,2015,250000,"Autoshow, Wheelspin",EPIC,S1 770
Ferrari,F12tdf ,2015,500000,"Autoshow, Wheelspin",EPIC,S1 788
Ferrari,812 Superfast ,2017,395000,"Autoshow, Wheelspin",LEGENDARY,S1 780
Ferrari,J50 ,2017,2500000,"Autoshow, Wheelspin",RARE,S1 772
Ferrari,J50 Preorder Car ,2017,309000,Gifted (DLC: Pre-order Forza Horizon 6),LEGENDARY,S1 800
Ferrari,FXX-K Evo ,2018,4500000,"Autoshow, Wheelspin",LEGENDARY,R 957
Ferrari,FXX-K Evo 'Welcome Pack' ,2018,250000,Autoshow (DLC: Welcome Pack),LEGENDARY,R 998
Ferrari,Portofino ,2018,200000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 714
Ferrari,488 Pista ,2019,716000,"Autoshow, Wheelspin",EPIC,S2 803
Ferrari,F8 Tributo ,2019,333000,Wheelspin,LEGENDARY,S2 802
Ferrari,Monza SP2 ,2019,2500000,"Autoshow, Wheelspin",LEGENDARY,S1 773
Ferrari,Roma ,2020,250000,"""Hard to Find""",EPIC,S1 735
Ferrari,SF90 Stradale ,2020,575000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,S2 851
Ferrari,296 GTB ,2022,380000,"""Hard to Find""",EPIC,S2 811
Ferrari,F80 ,2025,1000000,Autoshow (DLC: Italian Passion Car Pack),LEGENDARY,R 916
Ford,De Luxe Five-Window Coupe ,1932,36000,"Autoshow, Wheelspin",COMMON,D 100
Ford,Thunderbird ,1957,60000,Autoshow (DLC: Car Pass),COMMON,D 332
Ford,Mustang GT Coupe ,1965,52000,Autoshow,EPIC,D 388
Ford,#2 GT40 Mk II ,1966,13200000,"Autoshow, Wheelspin",LEGENDARY,A 666
Ford,Mustang GT 2+2 Fastback ,1968,119000,"Autoshow, Wheelspin",LEGENDARY,D 394
Ford,Mustang GT 2+2 Fastback Forza Edition ,1968,500000,Wheelspin,FORZA EDITION,A 700
Ford,Mustang Boss 302 ,1969,75000,"Autoshow, Wheelspin",RARE,C 468
Ford,Capri RS3100 ,1973,69000,"Autoshow, Wheelspin",RARE,D 394
Ford,XB Falcon GT ,1973,218000,"Autoshow, Wheelspin",RARE,C 422
Ford,#5 Escort RS1800 MkII ,1977,185000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 544
Ford,RS200 Evolution ,1985,420000,Earn the Green wristband,EPIC,S1 710
Ford,F-150 XLT Lariat ,1986,45000,"Autoshow, Wheelspin",COMMON,D 263
Ford,F-150 XLT Lariat Forza Edition ,1986,500000,Wheelspin,FORZA EDITION,S2 850
Ford,Sierra Cosworth RS500 ,1987,79000,Barn Find: Southwest Ito,BARN FIND,C 484
Ford,Escort RS Cosworth ,1992,65000,"Autoshow, Wheelspin, Aftermarket Car",RARE,C 456
Ford,Mustang SVT Cobra R ,1993,84000,"Autoshow, Wheelspin",COMMON,C 432
Ford,Supervan 3 ,1994,250000,"Autoshow, Wheelspin",EPIC,S1 740
Ford,Racing Puma ,1999,30000,"Autoshow, Wheelspin",RARE,C 401
Ford,Mustang SVT Cobra R ,2000,153000,"Autoshow, Wheelspin",COMMON,B 528
Ford,#4 Ford Focus RS ,2001,415000,"Autoshow, Wheelspin",RARE,A 639
Ford,F-150 SVT Lightning ,2003,250000,"""Hard to Find""",COMMON,C 474
Ford,Focus RS ,2003,35000,"Autoshow, Wheelspin",COMMON,C 484
Ford,GT ,2005,585000,Treasure Car: Southeast Nangan,TREASURE CAR,A 676
Ford,Focus RS ,2009,52000,Autoshow,EPIC,B 551
Ford,Crown Victoria Police Interceptor ,2010,15000,"Autoshow, Wheelspin",COMMON,D 354
Ford,Transit SuperSportVan ,2011,42000,"Autoshow, Wheelspin",RARE,D 235
Ford,Mustang Shelby GT500 ,2013,60000,"Autoshow, Wheelspin, Aftermarket Car",RARE,A 647
Ford,#11 Rockstar F-150 Trophy Truck ,2014,450000,"Autoshow, Wheelspin",EPIC,A 613
Ford,FPV Limited Edition Pursuit Ute ,2014,40000,"Autoshow, Wheelspin",COMMON,B 563
Ford,Ranger T6 Rally Raid ,2014,350000,Wheelspin,EPIC,B 530
Ford,Mustang Shelby GT350R ,2016,88000,"Autoshow, Wheelspin",RARE,S1 721
Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta ,2017,150000,"Autoshow, Earn 850 points in the ""Bonus Boards"" category in the Collection Journal",EPIC,S1 772
Ford,#25 'Brocky' Ultra4 Bronco RTR ,2017,75000,"Autoshow, Earn 2,500 points in the ""Master Explorer"" category in the Collection Journal",EPIC,A 644
Ford,Focus RS ,2017,37000,"Autoshow, Earn 150 points in the ""Car Collection"" category in the Collection Journal",EPIC,B 588
Ford,GT ,2017,500000,"Autoshow, Wheelspin",EPIC,S1 757
Ford,M-Sport Fiesta RS ,2017,250000,Wheelspin,EPIC,S1 707
Ford,Mustang RTR Spec 5 ,2018,35000,"Autoshow, Wheelspin",RARE,A 648
Ford,#2069 Ford Performance Bronco R ,2020,450000,"Autoshow, Wheelspin",EPIC,C 441
Ford,Mustang Shelby GT500 ,2020,125000,"Autoshow, Wheelspin",RARE,S1 734
Ford,Super Duty F-450 DRW PLATINUM ,2020,65000,"Autoshow, Wheelspin",COMMON,D 379
Ford,Super Duty F-450 DRW PLATINUM Forza Edition ,2020,500000,Wheelspin,FORZA EDITION,A 700
Ford,Bronco Raptor ,2022,50000,"Autoshow, Wheelspin",EPIC,C 473
Ford,F-150 Lightning ,2022,250000,Wheelspin,EPIC,C 500
Ford,Focus ST ,2022,34000,"Autoshow, Wheelspin",COMMON,B 594
Ford,Supervan 4 ,2022,2000000,Car Mastery: Ford Supervan 3,EPIC,R 919
Ford,F-150 Raptor R ,2023,110000,"Autoshow, Wheelspin",EPIC,B 536
Ford,F-150 Raptor R 'Welcome Pack' ,2023,50000,Autoshow (DLC: Welcome Pack),LEGENDARY,B 600
Ford,Fiesta ST ,2023,26000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 500
Ford,Mustang Dark Horse ,2024,59000,"Autoshow, Earn 400 points in the ""Speed Traps"" category in the Collection Journal",EPIC,A 669
Ford,Mustang GT ,2024,45000,"Autoshow, Wheelspin",EPIC,A 628
Formula Drift,#98 BMW 325i ,1989,150000,"Autoshow, Wheelspin",EPIC,S1 726
Formula Drift,#34 Toyota Supra MkIV ,1995,150000,"Autoshow, Wheelspin",EPIC,S1 759
Formula Drift,#777 Nissan 240SX ,1997,150000,"Autoshow, Earn 1,800 points in the ""Drift Club Japan"" category in the Collection Journal",EPIC,S1 748
Formula Drift,#43 Dodge Viper SRT10 ,2006,250000,Wheelspin,EPIC,S1 748
Formula Drift,#117 599 GTB Fiorano ,2007,525000,"Autoshow, Earn 400 points in the ""Skills"" category in the Collection Journal",EPIC,S1 767
Formula Drift,#99 Mazda RX-8 ,2009,150000,"Autoshow, Earn 1,500 points in the ""Drift Zones"" category in the Collection Journal",EPIC,S1 737
Formula Drift,#777 Chevrolet Corvette ,2013,275000,"Autoshow, Wheelspin",EPIC,S1 760
Formula Drift,#13 Ford Mustang ,2015,250000,Wheelspin,EPIC,S1 739
Formula Drift,#530 HSV Maloo Gen-F ,2016,150000,"Autoshow, Wheelspin",EPIC,S1 710
Formula Drift,#411 Toyota Corolla Hatchback ,2019,150000,"Autoshow, Wheelspin",EPIC,S1 754
Formula Drift,#151 Toyota GR Supra ,2020,185000,"Autoshow, Wheelspin",EPIC,S1 779
Formula Drift,#91 BMW M2 ,2020,150000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,S1 748
Formula Drift,#64 Forsberg Racing Nissan Z ,2023,200000,"Autoshow, Wheelspin",EPIC,S1 783
Funco Motorsports,F9 ,2018,300000,"Earn 3,500 points in the ""Bonus Boards"" category in the Collection Journal",EPIC,S1 752
GMC,Jimmy ,1970,60000,"Autoshow, Complete the Prologue",COMMON,C 416
GMC,Syclone ,1991,46000,"Autoshow, Wheelspin",EPIC,C 446
GMC,Typhoon ,1992,38000,"Autoshow, Wheelspin",EPIC,C 435
GMC,HUMMER EV Pickup ,2022,95000,"Autoshow, Wheelspin",EPIC,A 610
Gordon Murray Automotive,T.50 ,2022,3050000,"Autoshow, Earn 2,500 points in the ""Speed Traps"" category in the Collection Journal",LEGENDARY,S2 871
GR,GR GT (Prototype) ,2025,250000,"Autoshow, Wheelspin",LEGENDARY,S1 771
Hennessey,Venom GT ,2012,1400000,Wheelspin,LEGENDARY,S2 845
Hennessey,Ford F-150 VelociRaptor 6x6 ,2019,375000,"Autoshow, Wheelspin",LEGENDARY,B 520
Hennessey,Venom F5 ,2021,2050000,"Autoshow, Wheelspin, Aftermarket Car",LEGENDARY,S2 870
Holden,Torana A9X ,1977,500000,"Autoshow, Wheelspin, Aftermarket Car",RARE,C 413
Honda,N600 ,1970,250000,"""Hard to Find""",COMMON,D 100
Honda,S800 ,1970,40000,"Autoshow, Wheelspin",COMMON,D 134
Honda,Z GT ,1972,15000,Autoshow (DLC: Car Pass),COMMON,D 100
Honda,Civic RS ,1974,14000,Car Mastery: Honda Civic Type R (2023),COMMON,D 254
Honda,City E II ,1984,7500,"Autoshow, Wheelspin, Aftermarket Car, Earn 500 points in ""Yuji's Auto"" category in the Collection Journal",EPIC,D 203
Honda,Civic CRX Mugen ,1984,50000,"Earn 1,800 points in the ""Moto Auto Zine"" category in the Collection Journal",EPIC,D 390
Honda,Civic Si ,1986,10000,Autoshow,EPIC,D 253
Honda,#19 101 Motorsport CRX WTAC ,1990,150000,Autoshow (DLC: Time Attack Car Pack),EPIC,S2 877
Honda,Beat ,1991,15000,"Autoshow, Wheelspin, Earn 250 points in the ""Regional Mascots"" category in the Collection Journal",RARE,D 283
Honda,CR-X SiR ,1991,250000,"""Hard to Find""",COMMON,C 465
Honda,#21 Hardrace/JDMYard Civic WTAC ,1992,150000,Autoshow (DLC: Time Attack Car Pack),EPIC,R 913
Honda,NSX-R ,1992,450000,"Autoshow, Wheelspin, Aftermarket Car",EPIC,B 572
Honda,Acty ,1994,9000,"Autoshow, Wheelspin, Earn 750 points in the ""Tokyo City Food Delivery"" category in the Collection Journal",COMMON,D 100
Honda,Prelude Si ,1994,15000,"Autoshow, Wheelspin, Earn 250 points in the ""Photography"" category in the Collection Journal",COMMON,C 410
Honda,Civic Type R ,1997,30000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 430
Honda,#33 Integra WTAC ,2001,150000,Autoshow (DLC: Time Attack Car Pack),EPIC,S2 860
Honda,S2000 ,2003,55000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,B 503
Honda,#52 Evasive Motorsports S2000 WTAC ,2004,320000,Autoshow (DLC: Time Attack Car Pack),EPIC,S2 888
Honda,Civic Type R ,2004,15000,"Autoshow, Wheelspin, Aftermarket Car",COMMON,C 480
